name,config_size,real,user,sys,max_mem
delannoy,12,0.63,0.62,0.00,1364
delannoy,13,3.37,3.36,0.00,1360
delannoy,14,12.26,12.22,0.00,1360
delannoy,12,0.63,0.62,0.00,1344
delannoy,13,3.36,3.34,0.00,1316
delannoy,14,12.36,12.33,0.00,1372
delannoy,12,0.63,0.63,0.00,1368
delannoy,13,3.39,3.38,0.00,1320
delannoy,14,12.25,12.22,0.00,1344
delannoy,12,0.63,0.62,0.00,1348
delannoy,13,3.35,3.34,0.00,1400
delannoy,14,12.31,12.28,0.00,1428
delannoy,12,0.63,0.62,0.00,1428
delannoy,13,3.37,3.36,0.00,1364
delannoy,14,12.29,12.25,0.00,1284
delannoy,12,0.63,0.63,0.00,1428
delannoy,13,3.36,3.35,0.00,1404
delannoy,14,12.30,12.27,0.00,1360
delannoy,12,0.63,0.62,0.00,1372
delannoy,13,3.38,3.37,0.00,1376
delannoy,14,12.24,12.21,0.00,1388
delannoy,12,0.63,0.62,0.00,1352
delannoy,13,3.36,3.34,0.00,1436
delannoy,14,12.30,12.27,0.00,1356
delannoy,12,0.62,0.62,0.00,1316
delannoy,13,3.38,3.38,0.00,1364
delannoy,14,12.25,12.22,0.00,1372
delannoy,12,0.63,0.62,0.00,1360
delannoy,13,3.36,3.35,0.00,1284
delannoy,14,12.32,12.29,0.00,1280
delannoy,12,0.62,0.62,0.00,1364
delannoy,13,3.37,3.36,0.00,1432
delannoy,14,12.25,12.22,0.00,1356
delannoy,12,0.63,0.62,0.00,1388
delannoy,13,3.35,3.35,0.00,1404
delannoy,14,12.42,12.39,0.00,1360
delannoy,12,0.63,0.62,0.00,1392
delannoy,13,3.37,3.36,0.00,1392
delannoy,14,12.25,12.22,0.00,1320
delannoy,12,0.63,0.62,0.00,1400
delannoy,13,3.36,3.35,0.00,1372
delannoy,14,12.42,12.39,0.00,1428
delannoy,12,0.62,0.62,0.00,1372
delannoy,13,3.37,3.36,0.00,1372
delannoy,14,12.26,12.23,0.00,1432
delannoy,12,0.63,0.62,0.00,1456
delannoy,13,3.35,3.35,0.00,1400
delannoy,14,12.31,12.28,0.00,1432
delannoy,12,0.63,0.62,0.00,1344
delannoy,13,3.41,3.39,0.00,1348
delannoy,14,12.37,12.33,0.00,1372
delannoy,12,0.62,0.62,0.00,1372
delannoy,13,3.40,3.39,0.00,1432
delannoy,14,12.25,12.22,0.00,1364
delannoy,12,0.63,0.62,0.00,1344
delannoy,13,3.36,3.35,0.00,1456
delannoy,14,12.30,12.27,0.00,1428
delannoy,12,0.63,0.62,0.00,1360
delannoy,13,3.36,3.35,0.00,1344
delannoy,14,12.32,12.29,0.00,1356
delannoy,12,0.63,0.62,0.00,1388
delannoy,13,3.38,3.37,0.00,1360
delannoy,14,12.39,12.36,0.00,1320
delannoy,12,0.62,0.62,0.00,1360
delannoy,13,3.37,3.36,0.00,1316
delannoy,14,12.26,12.22,0.00,1280
delannoy,12,0.63,0.62,0.00,1348
delannoy,13,3.37,3.36,0.00,1432
delannoy,14,12.25,12.21,0.00,1280
delannoy,12,0.63,0.63,0.00,1316
delannoy,13,3.36,3.35,0.00,1356
delannoy,14,12.37,12.34,0.00,1376
delannoy,12,0.63,0.62,0.00,1428
delannoy,13,3.41,3.40,0.00,1352
delannoy,14,12.31,12.28,0.00,1460

# Statistics computed by automated_evaluator.py
# Configuration: config_size=12
# max_mem: 1372.48 [1204.4266666666667]
# real: 0.628 [1.6666666666666698e-05]
# sys: 0.0 [0.0]
# user: 0.6212 [1.100000000000002e-05]
#
# Configuration: config_size=13
# max_mem: 1375.68 [1866.56]
# real: 3.3708 [0.0002826666666666677]
# sys: 0.0 [0.0]
# user: 3.3608 [0.0002660000000000003]
#
# Configuration: config_size=14
# max_mem: 1364.32 [2655.8933333333334]
# real: 12.3044 [0.003100666666666661]
# sys: 0.0 [0.0]
# user: 12.2724 [0.0031939999999999733]
#
