name,config_size,real,user,sys,max_mem
delannoy,12,0.63,0.62,0.00,1352
delannoy,13,3.37,3.36,0.00,1280
delannoy,14,12.25,12.22,0.00,1456
delannoy,12,0.63,0.62,0.00,1376
delannoy,13,3.37,3.36,0.00,1372
delannoy,14,12.25,12.22,0.00,1368
delannoy,12,0.63,0.63,0.00,1388
delannoy,13,3.36,3.35,0.00,1372
delannoy,14,12.42,12.39,0.00,1284
delannoy,12,0.63,0.62,0.00,1400
delannoy,13,3.37,3.36,0.00,1460
delannoy,14,12.33,12.30,0.00,1428
delannoy,12,0.64,0.64,0.00,1284
delannoy,13,3.35,3.35,0.00,1352
delannoy,14,12.37,12.33,0.00,1376
delannoy,12,0.62,0.62,0.00,1372
delannoy,13,3.38,3.37,0.00,1280
delannoy,14,12.41,12.38,0.00,1404
delannoy,12,0.62,0.62,0.00,1388
delannoy,13,3.37,3.36,0.00,1404
delannoy,14,12.29,12.26,0.00,1432
delannoy,12,0.62,0.62,0.00,1316
delannoy,13,3.38,3.37,0.00,1280
delannoy,14,12.26,12.22,0.00,1280
delannoy,12,0.63,0.63,0.00,1320
delannoy,13,3.35,3.35,0.00,1372
delannoy,14,12.25,12.22,0.00,1392
delannoy,12,0.62,0.62,0.00,1376
delannoy,13,3.38,3.37,0.00,1352
delannoy,14,12.25,12.22,0.00,1344
delannoy,12,0.63,0.63,0.00,1432
delannoy,13,3.35,3.35,0.00,1400
delannoy,14,12.32,12.29,0.00,1432
delannoy,12,0.62,0.62,0.00,1400
delannoy,13,3.35,3.34,0.00,1320
delannoy,14,12.36,12.33,0.00,1436
delannoy,12,0.62,0.62,0.00,1352
delannoy,13,3.37,3.36,0.00,1352
delannoy,14,12.27,12.24,0.00,1280
delannoy,12,0.62,0.62,0.00,1316
delannoy,13,3.36,3.35,0.00,1364
delannoy,14,12.34,12.31,0.00,1360
delannoy,12,0.62,0.62,0.00,1356
delannoy,13,3.37,3.36,0.00,1432
delannoy,14,12.26,12.22,0.00,1352
delannoy,12,0.63,0.62,0.00,1352
delannoy,13,3.39,3.38,0.00,1360
delannoy,14,12.40,12.37,0.00,1428
delannoy,12,0.63,0.62,0.00,1432
delannoy,13,3.38,3.37,0.00,1392
delannoy,14,12.36,12.32,0.00,1372
delannoy,12,0.63,0.62,0.00,1456
delannoy,13,3.36,3.35,0.00,1432
delannoy,14,12.31,12.27,0.00,1316
delannoy,12,0.62,0.62,0.00,1404
delannoy,13,3.38,3.37,0.00,1364
delannoy,14,12.29,12.25,0.00,1348
delannoy,12,0.63,0.63,0.00,1376
delannoy,13,3.36,3.35,0.00,1356
delannoy,14,12.31,12.28,0.00,1320
delannoy,12,0.63,0.62,0.00,1280
delannoy,13,3.39,3.38,0.00,1432
delannoy,14,12.25,12.22,0.00,1456
delannoy,12,0.63,0.62,0.00,1428
delannoy,13,3.35,3.34,0.00,1352
delannoy,14,12.32,12.29,0.00,1360
delannoy,12,0.62,0.62,0.00,1372
delannoy,13,3.37,3.36,0.00,1400
delannoy,14,12.25,12.22,0.00,1364
delannoy,12,0.63,0.63,0.00,1404
delannoy,13,3.36,3.35,0.00,1356
delannoy,14,12.31,12.28,0.00,1352
delannoy,12,0.63,0.62,0.00,1360
delannoy,13,3.37,3.36,0.00,1368
delannoy,14,12.25,12.22,0.00,1356

# Statistics computed by automated_evaluator.py
# Configuration: config_size=12
# max_mem: 1371.68 [2014.56]
# real: 0.6264 [3.233333333333339e-05]
# sys: 0.0 [0.0]
# user: 0.6228 [2.9333333333333387e-05]
#
# Configuration: config_size=13
# max_mem: 1368.16 [2152.64]
# real: 3.3676 [0.00015233333333333315]
# sys: 0.0 [0.0]
# user: 3.3588 [0.00011933333333333328]
#
# Configuration: config_size=14
# max_mem: 1371.84 [2767.306666666667]
# real: 12.3072 [0.0030293333333333335]
# sys: 0.0 [0.0]
# user: 12.2748 [0.0030426666666666484]
#
