name,config_num_directories,config_num_files_per_directory,config_min_file_size,config_max_file_size,real,user,sys,max_mem
filegen,10,10,3000,6000,2.68,0.01,0.01,1592
filegen,10,50,3000,6000,14.08,0.05,0.05,1504
filegen,50,10,3000,6000,15.59,0.05,0.06,1480
filegen,50,50,3000,6000,68.36,0.24,0.31,1444
filegen,10,10,3000,6000,2.78,0.00,0.01,1448
filegen,10,50,3000,6000,14.04,0.05,0.05,1432
filegen,50,10,3000,6000,14.23,0.04,0.07,1500
filegen,50,50,3000,6000,58.47,0.24,0.27,1432
filegen,10,10,3000,6000,3.10,0.00,0.01,1416
filegen,10,50,3000,6000,15.44,0.04,0.08,1440
filegen,50,10,3000,6000,16.61,0.05,0.06,1440
filegen,50,50,3000,6000,66.80,0.24,0.30,1432
filegen,10,10,3000,6000,2.68,0.00,0.01,1476
filegen,10,50,3000,6000,15.40,0.05,0.06,1588
filegen,50,10,3000,6000,10.70,0.04,0.05,1476
filegen,50,50,3000,6000,68.60,0.26,0.31,1492
filegen,10,10,3000,6000,4.94,0.00,0.01,1592
filegen,10,50,3000,6000,14.26,0.04,0.07,1412
filegen,50,10,3000,6000,14.50,0.04,0.07,1440
filegen,50,50,3000,6000,71.60,0.25,0.31,1588
filegen,10,10,3000,6000,2.72,0.01,0.00,1412
filegen,10,50,3000,6000,15.98,0.04,0.06,1592
filegen,50,10,3000,6000,12.19,0.04,0.06,1440
filegen,50,50,3000,6000,70.74,0.25,0.31,1432
filegen,10,10,3000,6000,2.81,0.00,0.01,1448
filegen,10,50,3000,6000,14.79,0.04,0.08,1440
filegen,50,10,3000,6000,13.36,0.04,0.06,1564
filegen,50,50,3000,6000,72.32,0.26,0.31,1480
filegen,10,10,3000,6000,3.21,0.01,0.01,1492
filegen,10,50,3000,6000,14.10,0.05,0.06,1492
filegen,50,10,3000,6000,14.22,0.04,0.06,1436
filegen,50,50,3000,6000,71.68,0.23,0.32,1476
filegen,10,10,3000,6000,2.58,0.00,0.01,1520
filegen,10,50,3000,6000,16.46,0.04,0.07,1520
filegen,50,10,3000,6000,13.11,0.05,0.05,1444
filegen,50,50,3000,6000,72.29,0.25,0.32,1532
filegen,10,10,3000,6000,2.77,0.00,0.01,1564
filegen,10,50,3000,6000,14.27,0.05,0.06,1448
filegen,50,10,3000,6000,13.90,0.05,0.05,1480
filegen,50,50,3000,6000,68.98,0.22,0.31,1440
filegen,10,10,3000,6000,2.28,0.00,0.01,1520
filegen,10,50,3000,6000,15.24,0.04,0.07,1520
filegen,50,10,3000,6000,14.99,0.04,0.06,1444
filegen,50,50,3000,6000,71.87,0.25,0.35,1484
filegen,10,10,3000,6000,2.30,0.00,0.01,1452
filegen,10,50,3000,6000,13.81,0.04,0.07,1440
filegen,50,10,3000,6000,13.34,0.04,0.06,1532
filegen,50,50,3000,6000,60.78,0.25,0.28,1524
filegen,10,10,3000,6000,2.76,0.00,0.01,1428
filegen,10,50,3000,6000,14.77,0.05,0.06,1496
filegen,50,10,3000,6000,13.90,0.04,0.06,1492
filegen,50,50,3000,6000,65.99,0.25,0.31,1592
filegen,10,10,3000,6000,2.39,0.01,0.00,1560
filegen,10,50,3000,6000,14.37,0.04,0.07,1444
filegen,50,10,3000,6000,14.22,0.04,0.06,1412
filegen,50,50,3000,6000,57.33,0.24,0.27,1492
filegen,10,10,3000,6000,2.75,0.00,0.01,1484
filegen,10,50,3000,6000,14.44,0.05,0.06,1428
filegen,50,10,3000,6000,13.36,0.04,0.06,1480
filegen,50,50,3000,6000,73.38,0.26,0.32,1436
filegen,10,10,3000,6000,2.87,0.01,0.01,1588
filegen,10,50,3000,6000,14.16,0.05,0.06,1532
filegen,50,10,3000,6000,14.13,0.04,0.06,1432
filegen,50,50,3000,6000,61.62,0.24,0.29,1452
filegen,10,10,3000,6000,3.23,0.01,0.01,1488
filegen,10,50,3000,6000,10.56,0.04,0.05,1484
filegen,50,10,3000,6000,13.52,0.05,0.05,1432
filegen,50,50,3000,6000,68.09,0.26,0.28,1532
filegen,10,10,3000,6000,1.87,0.01,0.00,1448
filegen,10,50,3000,6000,14.63,0.05,0.05,1412
filegen,50,10,3000,6000,10.97,0.05,0.05,1588
filegen,50,50,3000,6000,65.00,0.22,0.30,1588
filegen,10,10,3000,6000,2.25,0.01,0.01,1484
filegen,10,50,3000,6000,12.79,0.05,0.05,1520
filegen,50,10,3000,6000,14.08,0.05,0.06,1440

# Statistics computed by automated_evaluator.py
# Configuration: config_num_directories=10, config_num_files_per_directory=10, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1495.3684210526317 [3580.9122807017543]
# real: 2.787894736842105 [0.3872064327485381]
# sys: 0.008421052631578947 [1.4035087719298246e-05]
# user: 0.004210526315789474 [2.5730994152046783e-05]
#
# Configuration: config_num_directories=10, config_num_files_per_directory=50, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1481.2631578947369 [3002.7602339181285]
# real: 14.399473684210527 [1.5540830409356727]
# sys: 0.06210526315789474 [9.53216374269006e-05]
# user: 0.045263157894736845 [2.6315789473684222e-05]
#
# Configuration: config_num_directories=50, config_num_files_per_directory=10, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1471.157894736842 [2258.8070175438597]
# real: 13.732631578947368 [1.946076023391813]
# sys: 0.05842105263157895 [3.625730994152047e-05]
# user: 0.04368421052631579 [2.456140350877194e-05]
#
# Configuration: config_num_directories=50, config_num_files_per_directory=50, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1491.5555555555557 [3156.496732026144]
# real: 67.43888888888888 [24.868904575163402]
