name,config_num_directories,config_num_files_per_directory,config_min_file_size,config_max_file_size,real,user,sys,max_mem
filegen,10,10,3000,6000,0.01,0.01,0.00,1412
filegen,10,50,3000,6000,1.67,0.02,0.03,1444
filegen,50,10,3000,6000,1.08,0.03,0.03,1564
filegen,50,50,3000,6000,15.00,0.17,0.23,1484
filegen,10,10,3000,6000,0.84,0.00,0.01,1412
filegen,10,50,3000,6000,4.10,0.04,0.04,1452
filegen,50,10,3000,6000,3.94,0.04,0.06,1444
filegen,50,50,3000,6000,33.94,0.20,0.37,1488
filegen,10,10,3000,6000,0.83,0.01,0.01,1484
filegen,10,50,3000,6000,4.28,0.05,0.06,1588
filegen,50,10,3000,6000,4.31,0.04,0.05,1488
filegen,50,50,3000,6000,21.66,0.21,0.29,1448
filegen,10,10,3000,6000,0.81,0.00,0.01,1588
filegen,10,50,3000,6000,4.18,0.06,0.04,1440
filegen,50,10,3000,6000,4.46,0.04,0.05,1484
filegen,50,50,3000,6000,20.56,0.25,0.26,1452
filegen,10,10,3000,6000,0.85,0.00,0.01,1444
filegen,10,50,3000,6000,4.31,0.04,0.05,1432
filegen,50,10,3000,6000,4.24,0.04,0.05,1496
filegen,50,50,3000,6000,21.15,0.23,0.24,1492
filegen,10,10,3000,6000,0.85,0.01,0.00,1536
filegen,10,50,3000,6000,4.34,0.04,0.05,1488
filegen,50,10,3000,6000,4.15,0.05,0.04,1592
filegen,50,50,3000,6000,21.41,0.23,0.23,1492
filegen,10,10,3000,6000,0.94,0.01,0.00,1488
filegen,10,50,3000,6000,4.26,0.04,0.04,1428
filegen,50,10,3000,6000,3.26,0.03,0.04,1436
filegen,50,50,3000,6000,22.70,0.24,0.27,1496
filegen,10,10,3000,6000,0.83,0.00,0.01,1436
filegen,10,50,3000,6000,4.35,0.04,0.05,1492
filegen,50,10,3000,6000,4.27,0.04,0.04,1444
filegen,50,50,3000,6000,21.83,0.24,0.28,1428
filegen,10,10,3000,6000,0.86,0.00,0.01,1536
filegen,10,50,3000,6000,4.25,0.04,0.05,1440
filegen,50,10,3000,6000,4.31,0.04,0.05,1436
filegen,50,50,3000,6000,21.70,0.25,0.27,1492
filegen,10,10,3000,6000,0.84,0.00,0.01,1532
filegen,10,50,3000,6000,4.35,0.05,0.04,1480
filegen,50,10,3000,6000,4.21,0.04,0.05,1440
filegen,50,50,3000,6000,22.36,0.27,0.23,1416
filegen,10,10,3000,6000,0.84,0.01,0.00,1444
filegen,10,50,3000,6000,5.45,0.03,0.06,1476
filegen,50,10,3000,6000,4.27,0.03,0.05,1500
filegen,50,50,3000,6000,21.59,0.24,0.28,1592
filegen,10,10,3000,6000,0.84,0.00,0.01,1488
filegen,10,50,3000,6000,4.22,0.05,0.04,1564
filegen,50,10,3000,6000,4.40,0.04,0.05,1428
filegen,50,50,3000,6000,21.57,0.24,0.26,1432
filegen,10,10,3000,6000,0.85,0.01,0.00,1500
filegen,10,50,3000,6000,4.24,0.05,0.04,1440
filegen,50,10,3000,6000,4.34,0.04,0.04,1432
filegen,50,50,3000,6000,18.99,0.21,0.22,1488
filegen,10,10,3000,6000,0.83,0.00,0.01,1500
filegen,10,50,3000,6000,4.26,0.05,0.04,1484
filegen,50,10,3000,6000,4.33,0.04,0.05,1520
filegen,50,50,3000,6000,21.87,0.24,0.24,1492
filegen,10,10,3000,6000,0.86,0.00,0.01,1524
filegen,10,50,3000,6000,4.24,0.03,0.05,1492
filegen,50,10,3000,6000,4.33,0.04,0.05,1444
filegen,50,50,3000,6000,21.87,0.24,0.26,1488
filegen,10,10,3000,6000,0.83,0.01,0.00,1440
filegen,10,50,3000,6000,4.28,0.05,0.04,1484
filegen,50,10,3000,6000,4.31,0.04,0.05,1488
filegen,50,50,3000,6000,21.75,0.24,0.27,1500
filegen,10,10,3000,6000,0.91,0.00,0.00,1488
filegen,10,50,3000,6000,4.29,0.05,0.04,1476
filegen,50,10,3000,6000,4.42,0.04,0.05,1480
filegen,50,50,3000,6000,21.62,0.25,0.25,1440
filegen,10,10,3000,6000,0.86,0.01,0.00,1488
filegen,10,50,3000,6000,4.30,0.04,0.04,1484
filegen,50,10,3000,6000,4.24,0.04,0.04,1484
filegen,50,50,3000,6000,21.63,0.25,0.25,1536
filegen,10,10,3000,6000,0.85,0.01,0.00,1480
filegen,10,50,3000,6000,4.25,0.04,0.05,1436
filegen,50,10,3000,6000,4.30,0.05,0.04,1432
filegen,50,50,3000,6000,21.00,0.23,0.22,1412
filegen,10,10,3000,6000,0.86,0.00,0.01,1500
filegen,10,50,3000,6000,4.27,0.04,0.04,1588
filegen,50,10,3000,6000,4.33,0.04,0.05,1444
filegen,50,50,3000,6000,21.78,0.22,0.22,1432
filegen,10,10,3000,6000,0.85,0.01,0.00,1564
filegen,10,50,3000,6000,4.28,0.05,0.03,1440
filegen,50,10,3000,6000,4.32,0.05,0.04,1496
filegen,50,50,3000,6000,21.68,0.22,0.23,1484
filegen,10,10,3000,6000,0.86,0.01,0.00,1476
filegen,10,50,3000,6000,4.43,0.04,0.04,1488
filegen,50,10,3000,6000,4.24,0.05,0.05,1440
filegen,50,50,3000,6000,21.86,0.22,0.23,1492
filegen,10,10,3000,6000,0.84,0.00,0.01,1504
filegen,10,50,3000,6000,5.25,0.04,0.04,1492
filegen,50,10,3000,6000,4.28,0.04,0.04,1504
filegen,50,50,3000,6000,22.20,0.23,0.26,1520
filegen,10,10,3000,6000,0.77,0.00,0.01,1520
filegen,10,50,3000,6000,4.26,0.04,0.04,1520
filegen,50,10,3000,6000,4.24,0.04,0.05,1560
filegen,50,50,3000,6000,20.92,0.23,0.22,1500
filegen,10,10,3000,6000,0.85,0.00,0.01,1520
filegen,10,50,3000,6000,4.31,0.04,0.04,1588
filegen,50,10,3000,6000,4.32,0.04,0.05,1484
filegen,50,50,3000,6000,21.88,0.23,0.22,1440

# Statistics computed by automated_evaluator.py
# Configuration: config_num_directories=10, config_num_files_per_directory=10, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1492.16 [1940.64]
# real: 0.8144 [0.029009]
# sys: 0.0056 [2.566666666666667e-05]
# user: 0.0044 [2.566666666666667e-05]
#
# Configuration: config_num_directories=10, config_num_files_per_directory=50, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1485.44 [2457.173333333333]
# real: 4.2568 [0.38328933333333337]
# sys: 0.0432 [5.6e-05]
# user: 0.0424 [6.900000000000001e-05]
#
# Configuration: config_num_directories=50, config_num_files_per_directory=10, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1478.4 [2032.0]
# real: 4.116 [0.4514916666666667]
# sys: 0.046400000000000004 [4.0666666666666675e-05]
# user: 0.0404 [2.900000000000001e-05]
#
# Configuration: config_num_directories=50, config_num_files_per_directory=50, config_min_file_size=3000, config_max_file_size=6000
# max_mem: 1477.44 [1673.1733333333334]
# real: 21.7808 [8.605940999999998]
# sys: 0.252 [0.0010833333333333333]
# user: 0.2312 [0.0003943333333333333]
#
