name,config_num_directories,config_num_files_per_directory,config_min_file_size,config_max_file_size,real,user,sys,max_mem
filegen,10,10,3000,6000,0.79,0.01,0.00,1532
filegen,10,50,3000,6000,3.79,0.04,0.04,1572
filegen,50,10,3000,6000,3.92,0.04,0.06,1460
filegen,50,50,3000,6000,20.27,0.21,0.25,1600
filegen,10,10,3000,6000,0.83,0.01,0.01,1416
filegen,10,50,3000,6000,4.19,0.04,0.04,1460
filegen,50,10,3000,6000,4.15,0.05,0.04,1452
filegen,50,50,3000,6000,20.85,0.23,0.23,1500
filegen,10,10,3000,6000,0.84,0.00,0.01,1420
filegen,10,50,3000,6000,4.28,0.04,0.05,1496
filegen,50,10,3000,6000,4.33,0.04,0.06,1448
filegen,50,50,3000,6000,20.84,0.20,0.26,1484
filegen,10,10,3000,6000,0.80,0.01,0.00,1500
filegen,10,50,3000,6000,4.20,0.04,0.05,1600
filegen,50,10,3000,6000,4.39,0.05,0.05,1440
filegen,50,50,3000,6000,16.70,0.21,0.22,1500
filegen,10,10,3000,6000,0.79,0.00,0.01,1460
filegen,10,50,3000,6000,3.73,0.04,0.05,1488
filegen,50,10,3000,6000,4.26,0.05,0.04,1440
filegen,50,50,3000,6000,22.17,0.22,0.26,1452
filegen,10,10,3000,6000,0.72,0.00,0.01,1572
filegen,10,50,3000,6000,3.77,0.04,0.04,1572
filegen,50,10,3000,6000,4.26,0.05,0.05,1488
filegen,50,50,3000,6000,21.19,0.25,0.26,1504
filegen,10,10,3000,6000,0.72,0.00,0.01,1504
filegen,10,50,3000,6000,3.80,0.04,0.05,1536
filegen,50,10,3000,6000,4.40,0.04,0.05,1460
filegen,50,50,3000,6000,21.56,0.26,0.25,1484
filegen,10,10,3000,6000,0.76,0.00,0.01,1600
filegen,10,50,3000,6000,4.11,0.04,0.05,1484
filegen,50,10,3000,6000,4.36,0.04,0.05,1484
filegen,50,50,3000,6000,21.21,0.26,0.26,1444
filegen,10,10,3000,6000,1.04,0.00,0.01,1448
filegen,10,50,3000,6000,3.62,0.05,0.05,1448
filegen,50,10,3000,6000,4.15,0.03,0.05,1500
filegen,50,50,3000,6000,21.58,0.24,0.27,1452
filegen,10,10,3000,6000,0.71,0.00,0.01,1464
filegen,10,50,3000,6000,4.06,0.04,0.05,1488
filegen,50,10,3000,6000,4.44,0.05,0.05,1508
filegen,50,50,3000,6000,21.03,0.26,0.26,1600
filegen,10,10,3000,6000,0.74,0.01,0.00,1604
filegen,10,50,3000,6000,4.35,0.04,0.04,1512
