name,config_default,real,user,sys,max_mem
filesearch,1,0.27,0.04,0.22,1504
filesearch,1,0.24,0.04,0.20,1448
filesearch,1,0.24,0.04,0.19,1476
filesearch,1,0.27,0.04,0.22,1616
filesearch,1,0.24,0.04,0.19,1468
filesearch,1,0.26,0.03,0.22,1548
filesearch,1,0.26,0.04,0.21,1456
filesearch,1,0.27,0.03,0.23,1444
filesearch,1,0.27,0.04,0.22,1524
filesearch,1,0.27,0.04,0.22,1468
filesearch,1,0.27,0.05,0.22,1548
filesearch,1,0.26,0.05,0.21,1448
filesearch,1,0.24,0.04,0.20,1452
filesearch,1,0.26,0.04,0.22,1508
filesearch,1,0.24,0.04,0.20,1444
filesearch,1,0.26,0.03,0.22,1476
filesearch,1,0.26,0.04,0.21,1408
filesearch,1,0.26,0.04,0.22,1504
filesearch,1,0.24,0.05,0.19,1456
filesearch,1,0.26,0.03,0.23,1504
filesearch,1,0.24,0.06,0.18,1460
filesearch,1,0.26,0.04,0.21,1456
filesearch,1,0.24,0.04,0.19,1620
filesearch,1,0.26,0.05,0.20,1504
filesearch,1,0.24,0.04,0.20,1460

# Statistics computed by automated_evaluator.py
# Configuration: config_default=1
# max_mem: 1488.0 [2676.0]
# real: 0.2552 [0.00015100000000000026]
# sys: 0.2088 [0.00019433333333333333]
# user: 0.0408 [4.9333333333333344e-05]
#
