name,config_default,real,user,sys,max_mem
filesearch,1,0.27,0.03,0.24,1476
filesearch,1,0.25,0.04,0.20,1564
filesearch,1,0.26,0.03,0.22,1488
filesearch,1,0.24,0.03,0.20,1476
filesearch,1,0.26,0.03,0.22,1476
filesearch,1,0.24,0.03,0.20,1508
filesearch,1,0.27,0.03,0.22,1456
filesearch,1,0.24,0.04,0.19,1460
filesearch,1,0.26,0.04,0.22,1488
filesearch,1,0.24,0.04,0.20,1468
filesearch,1,0.27,0.04,0.22,1416
filesearch,1,0.24,0.05,0.18,1416
filesearch,1,0.26,0.04,0.21,1512
filesearch,1,0.24,0.04,0.19,1540
filesearch,1,0.26,0.04,0.22,1464
filesearch,1,0.24,0.04,0.19,1464
filesearch,1,0.26,0.03,0.22,1512
filesearch,1,0.24,0.03,0.20,1460
filesearch,1,0.27,0.04,0.22,1480
filesearch,1,0.24,0.04,0.20,1468
filesearch,1,0.24,0.04,0.19,1468
filesearch,1,0.26,0.04,0.21,1564
filesearch,1,0.24,0.04,0.19,1460
filesearch,1,0.26,0.04,0.22,1464
filesearch,1,0.24,0.04,0.19,1416

# Statistics computed by automated_evaluator.py
# Configuration: config_default=1
# max_mem: 1478.56 [1497.1733333333334]
# real: 0.2516 [0.0001473333333333336]
# sys: 0.2064 [0.00022399999999999994]
# user: 0.0372 [2.9333333333333346e-05]
#
