name,config_size,real,user,sys,max_mem
mmul-2000,2000,26.74,26.59,0.02,94828
mmul-2000,2000,26.74,26.56,0.01,94932
mmul-2000,2000,26.32,26.17,0.01,94932
mmul-2000,2000,26.02,25.88,0.01,94780
mmul-2000,2000,27.05,26.86,0.02,94928
mmul-2000,2000,26.72,26.55,0.01,94872
mmul-2000,2000,27.04,26.89,0.02,94868
mmul-2000,2000,26.95,26.77,0.02,94840
mmul-2000,2000,27.04,26.89,0.01,94928
mmul-2000,2000,26.79,26.60,0.01,94768
mmul-2000,2000,26.76,26.61,0.01,94828
mmul-2000,2000,26.90,26.71,0.01,94808
mmul-2000,2000,27.14,26.99,0.02,94784
mmul-2000,2000,26.72,26.53,0.02,94876
mmul-2000,2000,26.17,26.03,0.02,94808
mmul-2000,2000,27.11,26.92,0.02,94820
mmul-2000,2000,26.77,26.59,0.01,94820
mmul-2000,2000,26.19,26.05,0.01,95016
mmul-2000,2000,26.93,26.74,0.01,94840
mmul-2000,2000,26.13,26.00,0.01,94776
mmul-2000,2000,26.19,26.01,0.01,95052
mmul-2000,2000,26.96,26.81,0.01,94912
mmul-2000,2000,26.85,26.66,0.01,95096
mmul-2000,2000,27.06,26.92,0.01,94804
mmul-2000,2000,27.08,26.90,0.01,94928

# Statistics computed by automated_evaluator.py
# Configuration: config_size=2000
# max_mem: 94873.76 [7577.44]
# real: 26.7348 [0.12325099999999975]
# sys: 0.0132 [2.2666666666666668e-05]
# user: 26.5692 [0.11730766666666649]
#
