name,config_size,real,user,sys,max_mem
mmul-2000,2000,26.13,25.95,0.01,94892
mmul-2000,2000,26.96,26.82,0.01,94988
mmul-2000,2000,29.56,29.38,0.02,94868
mmul-2000,2000,26.81,26.66,0.02,94772
mmul-2000,2000,26.79,26.59,0.02,94820
mmul-2000,2000,26.75,26.56,0.02,94888
mmul-2000,2000,26.87,26.68,0.01,94816
mmul-2000,2000,27.08,26.94,0.01,94732
mmul-2000,2000,27.08,26.89,0.02,94840
mmul-2000,2000,26.12,25.99,0.01,94832
mmul-2000,2000,26.88,26.73,0.02,94780
mmul-2000,2000,27.08,26.89,0.01,94812
mmul-2000,2000,26.77,26.63,0.02,94896
mmul-2000,2000,25.92,25.73,0.02,94908
mmul-2000,2000,26.01,25.88,0.01,94828
mmul-2000,2000,26.81,26.66,0.01,94828
mmul-2000,2000,26.82,26.68,0.01,94828
mmul-2000,2000,26.08,25.90,0.01,94936
mmul-2000,2000,26.18,26.04,0.02,94836
mmul-2000,2000,27.06,26.85,0.02,94780
mmul-2000,2000,26.75,26.61,0.01,94804
mmul-2000,2000,27.11,26.92,0.01,94868
mmul-2000,2000,26.76,26.62,0.02,94784
mmul-2000,2000,26.77,26.57,0.02,94884
mmul-2000,2000,27.20,27.07,0.01,94784

# Statistics computed by automated_evaluator.py
# Configuration: config_size=2000
# max_mem: 94840.16 [3363.306666666667]
# real: 26.814 [0.4762583333333328]
# sys: 0.0148 [2.6000000000000002e-05]
# user: 26.6496 [0.4708040000000002]
#
