name,config_particles,real,user,sys,max_mem
nbody-1000,1000,2.56,2.54,0.00,1844
nbody-1000,1000,2.57,2.56,0.00,1916
nbody-1000,1000,2.55,2.55,0.00,1868
nbody-1000,1000,2.56,2.55,0.00,1896
nbody-1000,1000,2.55,2.54,0.00,1876
nbody-1000,1000,2.56,2.55,0.00,1876
nbody-1000,1000,2.55,2.55,0.00,1920
nbody-1000,1000,2.56,2.55,0.00,1880
nbody-1000,1000,2.55,2.54,0.00,1816
nbody-1000,1000,2.56,2.56,0.00,1880
nbody-1000,1000,2.55,2.55,0.00,1816
nbody-1000,1000,2.57,2.56,0.00,1948
nbody-1000,1000,2.55,2.55,0.00,1888
nbody-1000,1000,2.55,2.54,0.00,1920
nbody-1000,1000,2.56,2.56,0.00,1768
nbody-1000,1000,2.55,2.54,0.00,1888
nbody-1000,1000,2.56,2.55,0.00,1844
nbody-1000,1000,2.55,2.55,0.00,1876
nbody-1000,1000,2.56,2.56,0.00,1900
nbody-1000,1000,2.55,2.55,0.00,1896
nbody-1000,1000,2.56,2.56,0.00,1876
nbody-1000,1000,2.55,2.54,0.00,1900
nbody-1000,1000,2.56,2.56,0.00,1896
nbody-1000,1000,2.55,2.55,0.00,1936
nbody-1000,1000,2.58,2.58,0.00,1900

# Statistics computed by automated_evaluator.py
# Configuration: config_particles=1000
# max_mem: 1880.96 [1577.7066666666667]
# real: 2.5568 [6.433333333333447e-05]
# sys: 0.0 [0.0]
# user: 2.5516 [8.900000000000048e-05]
#
