name,config_particles,real,user,sys,max_mem
nbody-2000,2000,4.25,4.24,0.00,1972
nbody-2000,2000,4.27,4.26,0.00,1984
nbody-2000,2000,4.25,4.24,0.00,1956
nbody-2000,2000,4.27,4.26,0.00,1892
nbody-2000,2000,4.27,4.26,0.00,1904
nbody-2000,2000,4.27,4.26,0.00,2000
nbody-2000,2000,4.25,4.23,0.00,1904
nbody-2000,2000,4.29,4.28,0.00,1980
nbody-2000,2000,4.27,4.26,0.00,1948
nbody-2000,2000,4.25,4.24,0.00,2016
nbody-2000,2000,4.26,4.25,0.00,1904
nbody-2000,2000,4.25,4.23,0.00,1924
nbody-2000,2000,4.26,4.25,0.00,1996
nbody-2000,2000,4.25,4.23,0.00,1856
nbody-2000,2000,4.27,4.25,0.00,1904
nbody-2000,2000,4.25,4.23,0.00,1904
nbody-2000,2000,4.27,4.26,0.00,1972
nbody-2000,2000,4.25,4.23,0.00,1976
nbody-2000,2000,4.27,4.26,0.00,1956
nbody-2000,2000,4.25,4.23,0.00,1972
nbody-2000,2000,4.26,4.25,0.00,1976
nbody-2000,2000,4.25,4.24,0.00,1948
nbody-2000,2000,4.25,4.23,0.00,2012
nbody-2000,2000,4.25,4.23,0.00,2000
nbody-2000,2000,4.26,4.25,0.00,2000

# Statistics computed by automated_evaluator.py
# Configuration: config_particles=2000
# max_mem: 1954.24 [1906.7733333333333]
# real: 4.2596 [0.00012066666666666377]
# sys: 0.0 [0.0]
# user: 4.246 [0.000199999999999994]
#
