name,config_problem,real,user,sys,max_mem
qap,problems/chr15a.dat,3.48,3.47,0.00,1484
qap,problems/chr15b.dat,0.94,0.94,0.00,1488
qap,problems/chr15c.dat,3.17,3.17,0.00,1504
qap,problems/chr15a.dat,3.48,3.47,0.00,1476
qap,problems/chr15b.dat,0.94,0.94,0.00,1416
qap,problems/chr15c.dat,3.18,3.18,0.00,1592
qap,problems/chr15a.dat,3.49,3.49,0.00,1516
qap,problems/chr15b.dat,0.94,0.94,0.00,1504
qap,problems/chr15c.dat,3.18,3.17,0.00,1480
qap,problems/chr15a.dat,3.50,3.49,0.00,1588
qap,problems/chr15b.dat,0.94,0.94,0.00,1484
qap,problems/chr15c.dat,3.19,3.18,0.00,1596
qap,problems/chr15a.dat,3.48,3.47,0.00,1496
qap,problems/chr15b.dat,0.95,0.94,0.00,1592
qap,problems/chr15c.dat,3.17,3.17,0.00,1480
qap,problems/chr15a.dat,3.49,3.48,0.00,1412
qap,problems/chr15b.dat,0.94,0.93,0.00,1484
qap,problems/chr15c.dat,3.19,3.19,0.00,1588
qap,problems/chr15a.dat,3.48,3.47,0.00,1540
qap,problems/chr15b.dat,0.94,0.94,0.00,1504
qap,problems/chr15c.dat,3.17,3.17,0.00,1508
qap,problems/chr15a.dat,3.53,3.52,0.00,1484
qap,problems/chr15b.dat,0.94,0.93,0.00,1476
qap,problems/chr15c.dat,3.19,3.18,0.00,1480
qap,problems/chr15a.dat,3.48,3.47,0.00,1488
qap,problems/chr15b.dat,0.94,0.94,0.00,1512
qap,problems/chr15c.dat,3.17,3.16,0.00,1536
qap,problems/chr15a.dat,3.50,3.49,0.00,1508
qap,problems/chr15b.dat,0.95,0.94,0.00,1484
qap,problems/chr15c.dat,3.19,3.18,0.00,1412
qap,problems/chr15a.dat,3.49,3.49,0.00,1592
qap,problems/chr15b.dat,0.94,0.94,0.00,1488
qap,problems/chr15c.dat,3.19,3.18,0.00,1492
qap,problems/chr15a.dat,3.48,3.47,0.00,1512
qap,problems/chr15b.dat,0.94,0.94,0.00,1516
qap,problems/chr15c.dat,3.17,3.16,0.00,1496
qap,problems/chr15a.dat,3.52,3.51,0.00,1492
qap,problems/chr15b.dat,0.94,0.94,0.00,1596
qap,problems/chr15c.dat,3.20,3.19,0.00,1536
qap,problems/chr15a.dat,3.56,3.55,0.00,1560
qap,problems/chr15b.dat,0.94,0.94,0.00,1512
qap,problems/chr15c.dat,3.18,3.17,0.00,1496
qap,problems/chr15a.dat,3.50,3.49,0.00,1476
qap,problems/chr15b.dat,0.94,0.94,0.00,1516
qap,problems/chr15c.dat,3.17,3.17,0.00,1508
qap,problems/chr15a.dat,3.48,3.48,0.00,1536
qap,problems/chr15b.dat,0.94,0.94,0.00,1480
qap,problems/chr15c.dat,3.20,3.20,0.00,1564
qap,problems/chr15a.dat,3.48,3.47,0.00,1588
qap,problems/chr15b.dat,0.94,0.94,0.00,1512
qap,problems/chr15c.dat,3.18,3.17,0.00,1416
qap,problems/chr15a.dat,3.50,3.49,0.00,1492
qap,problems/chr15b.dat,0.94,0.94,0.00,1564
qap,problems/chr15c.dat,3.17,3.17,0.00,1512
qap,problems/chr15a.dat,3.50,3.50,0.00,1568
qap,problems/chr15b.dat,0.94,0.93,0.00,1508
qap,problems/chr15c.dat,3.18,3.18,0.00,1508
qap,problems/chr15a.dat,3.48,3.47,0.00,1492
qap,problems/chr15b.dat,0.94,0.94,0.00,1496
qap,problems/chr15c.dat,3.19,3.19,0.00,1560
qap,problems/chr15a.dat,3.48,3.47,0.00,1508
qap,problems/chr15b.dat,0.94,0.94,0.00,1536
qap,problems/chr15c.dat,3.20,3.19,0.00,1508
qap,problems/chr15a.dat,3.50,3.50,0.00,1496
qap,problems/chr15b.dat,0.94,0.93,0.00,1560
qap,problems/chr15c.dat,3.19,3.19,0.00,1536
qap,problems/chr15a.dat,3.48,3.47,0.00,1508
qap,problems/chr15b.dat,0.94,0.94,0.00,1592
qap,problems/chr15c.dat,3.17,3.16,0.00,1568
qap,problems/chr15a.dat,3.50,3.50,0.00,1416
qap,problems/chr15b.dat,0.94,0.93,0.00,1500
qap,problems/chr15c.dat,3.20,3.19,0.00,1560
qap,problems/chr15a.dat,3.48,3.47,0.00,1492
qap,problems/chr15b.dat,0.95,0.95,0.00,1504
qap,problems/chr15c.dat,3.17,3.16,0.00,1564

# Statistics computed by automated_evaluator.py
# Configuration: config_problem=problems/chr15a.dat
# max_mem: 1508.8 [2109.3333333333335]
# real: 3.4936 [0.00037399999999999977]
# sys: 0.0 [0.0]
# user: 3.486 [0.00039166666666666294]
#
# Configuration: config_problem=problems/chr15b.dat
# max_mem: 1512.96 [1712.3733333333332]
# real: 0.9411999999999999 [1.100000000000002e-05]
# sys: 0.0 [0.0]
# user: 0.9384 [2.2333333333332983e-05]
#
# Configuration: config_problem=problems/chr15c.dat
# max_mem: 1520.0 [2326.6666666666665]
# real: 3.1824 [0.00012733333333333463]
# sys: 0.0 [0.0]
# user: 3.1768 [0.00013099999999999977]
#
