name,config_size,real,user,sys
delannoy_O0,13,9.70,9.65,0.00
delannoy_O0,13,9.68,9.66,0.00
delannoy_O0,13,9.60,9.58,0.00
delannoy_O0,13,9.66,9.64,0.00
delannoy_O0,13,9.70,9.68,0.00
delannoy_O0,13,9.57,9.54,0.00
delannoy_O0,13,9.60,9.58,0.00
delannoy_O0,13,9.68,9.65,0.00
delannoy_O0,13,9.66,9.64,0.00
delannoy_O0,13,9.58,9.56,0.00
delannoy_O0,13,9.68,9.66,0.00
delannoy_O0,13,9.67,9.65,0.00
delannoy_O0,13,9.69,9.66,0.00
delannoy_O0,13,9.64,9.61,0.00
delannoy_O0,13,9.68,9.66,0.00
delannoy_O0,13,9.71,9.68,0.00
delannoy_O0,13,9.63,9.61,0.00
delannoy_O0,13,9.70,9.68,0.00
delannoy_O0,13,9.67,9.64,0.00
delannoy_O0,13,9.64,9.61,0.00
delannoy_O0,13,9.58,9.56,0.00
delannoy_O0,13,9.63,9.61,0.00
delannoy_O0,13,9.69,9.67,0.00
delannoy_O0,13,9.63,9.61,0.00
delannoy_O0,13,9.58,9.55,0.00
