name,config_size,real,user,sys
mmul_O0,1000,5.73,5.69,0.00
mmul_O0,1000,5.98,5.94,0.00
mmul_O0,1000,5.79,5.77,0.00
mmul_O0,1000,5.99,5.95,0.00
mmul_O0,1000,6.03,6.00,0.00
mmul_O0,1000,5.78,5.75,0.00
mmul_O0,1000,5.76,5.73,0.00
mmul_O0,1000,5.81,5.78,0.00
mmul_O0,1000,6.04,6.01,0.00
mmul_O0,1000,5.75,5.72,0.00
mmul_O0,1000,5.73,5.71,0.00
mmul_O0,1000,6.05,6.02,0.01
mmul_O0,1000,5.74,5.71,0.00
mmul_O0,1000,5.76,5.73,0.00
mmul_O0,1000,5.98,5.95,0.00
mmul_O0,1000,5.76,5.73,0.00
mmul_O0,1000,5.73,5.70,0.00
mmul_O0,1000,5.76,5.73,0.00
mmul_O0,1000,5.75,5.73,0.00
mmul_O0,1000,5.77,5.75,0.00
mmul_O0,1000,6.12,6.08,0.00
mmul_O0,1000,6.17,6.12,0.00
mmul_O0,1000,6.03,6.00,0.00
mmul_O0,1000,6.01,5.97,0.01
mmul_O0,1000,5.72,5.69,0.01
