name,config_size,real,user,sys
mmul_Ofast,1000,2.05,2.01,0.01
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,2.00,1.98,0.00
mmul_Ofast,1000,2.01,1.99,0.01
mmul_Ofast,1000,2.00,1.99,0.00
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,1.99,1.98,0.00
mmul_Ofast,1000,1.98,1.96,0.00
mmul_Ofast,1000,1.99,1.97,0.01
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,1.99,1.98,0.00
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,1.98,1.96,0.01
mmul_Ofast,1000,2.00,1.99,0.00
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,2.00,1.98,0.00
mmul_Ofast,1000,1.99,1.98,0.00
mmul_Ofast,1000,2.01,2.00,0.00
mmul_Ofast,1000,1.99,1.96,0.01
mmul_Ofast,1000,2.14,2.12,0.00
mmul_Ofast,1000,1.98,1.97,0.00
mmul_Ofast,1000,2.03,2.02,0.00
mmul_Ofast,1000,2.03,2.01,0.00
