name,config_M,real,user,sys
nbody_O1,400,10.34,10.30,0.00
nbody_O1,400,10.38,10.35,0.00
nbody_O1,400,10.32,10.30,0.00
nbody_O1,400,10.38,10.36,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.40,10.37,0.00
nbody_O1,400,10.39,10.36,0.00
nbody_O1,400,10.39,10.35,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.38,10.35,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.38,10.36,0.00
nbody_O1,400,10.38,10.34,0.00
nbody_O1,400,10.38,10.35,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.38,10.35,0.00
nbody_O1,400,10.35,10.32,0.00
nbody_O1,400,10.38,10.35,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.37,10.34,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.38,10.36,0.00
nbody_O1,400,10.39,10.37,0.00
nbody_O1,400,10.33,10.30,0.00
nbody_O1,400,10.39,10.36,0.00
