name,config_M,real,user,sys
nbody_Os,400,10.35,10.30,0.00
nbody_Os,400,10.38,10.36,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.36,10.34,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.37,10.34,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.38,10.36,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.38,10.36,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.43,10.40,0.00
nbody_Os,400,10.46,10.43,0.00
nbody_Os,400,10.33,10.31,0.00
nbody_Os,400,10.37,10.34,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.37,10.34,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.34,10.31,0.00
nbody_Os,400,10.40,10.37,0.00
nbody_Os,400,10.33,10.31,0.00
nbody_Os,400,10.38,10.36,0.00
nbody_Os,400,10.33,10.30,0.00
nbody_Os,400,10.37,10.35,0.00
nbody_Os,400,10.34,10.31,0.00
