name,config_problem,real,user,sys
npb_bt_O0,w,11.60,11.54,0.00
npb_bt_O0,w,11.55,11.51,0.00
npb_bt_O0,w,11.38,11.34,0.00
npb_bt_O0,w,11.57,11.53,0.00
npb_bt_O0,w,11.75,11.71,0.00
npb_bt_O0,w,11.78,11.73,0.00
npb_bt_O0,w,11.72,11.67,0.00
npb_bt_O0,w,11.61,11.57,0.00
npb_bt_O0,w,11.53,11.48,0.00
npb_bt_O0,w,11.42,11.37,0.00
npb_bt_O0,w,11.52,11.47,0.00
npb_bt_O0,w,11.54,11.49,0.00
npb_bt_O0,w,11.49,11.45,0.00
npb_bt_O0,w,11.48,11.44,0.00
npb_bt_O0,w,11.68,11.64,0.00
npb_bt_O0,w,11.75,11.70,0.00
npb_bt_O0,w,11.63,11.58,0.00
npb_bt_O0,w,11.54,11.50,0.00
npb_bt_O0,w,11.45,11.40,0.00
npb_bt_O0,w,11.40,11.35,0.00
npb_bt_O0,w,11.55,11.51,0.00
npb_bt_O0,w,11.65,11.60,0.00
npb_bt_O0,w,11.74,11.69,0.00
npb_bt_O0,w,11.56,11.52,0.00
npb_bt_O0,w,11.46,11.41,0.00
