name,config_problem,real,user,sys
qap_O2,problems/chr15c.dat,3.13,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.11,3.10,0.00
qap_O2,problems/chr15c.dat,3.11,3.10,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.11,3.10,0.00
qap_O2,problems/chr15c.dat,3.11,3.10,0.00
qap_O2,problems/chr15c.dat,3.12,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.11,3.11,0.00
qap_O2,problems/chr15c.dat,3.10,3.09,0.00
qap_O2,problems/chr15c.dat,3.13,3.12,0.00
qap_O2,problems/chr15c.dat,3.11,3.10,0.00
qap_O2,problems/chr15c.dat,3.14,3.13,0.00
qap_O2,problems/chr15c.dat,3.14,3.13,0.00
