name,config_size,real,user,sys
delannoy_Ofast,13,3.38,3.35,0.00
delannoy_Ofast,13,3.37,3.36,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.38,3.37,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.37,3.36,0.00
delannoy_Ofast,13,3.35,3.34,0.00
delannoy_Ofast,13,3.37,3.36,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.37,3.36,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.38,3.37,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.37,3.36,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.40,3.39,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.37,3.36,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.39,3.38,0.00
delannoy_Ofast,13,3.36,3.35,0.00
delannoy_Ofast,13,3.38,3.37,0.00
delannoy_Ofast,13,3.36,3.35,0.00
