name,config_size,real,user,sys
delannoy_Os,13,5.75,5.72,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.72,5.71,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.73,5.72,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.73,5.71,0.00
delannoy_Os,13,5.71,5.69,0.00
delannoy_Os,13,5.72,5.71,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.73,5.71,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.72,5.71,0.00
delannoy_Os,13,5.71,5.70,0.00
delannoy_Os,13,5.76,5.74,0.00
delannoy_Os,13,5.73,5.72,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.72,5.71,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.72,5.71,0.00
delannoy_Os,13,5.70,5.69,0.00
delannoy_Os,13,5.73,5.71,0.00
delannoy_Os,13,5.71,5.69,0.00
delannoy_Os,13,5.69,5.68,0.00
