name,config_size,real,user,sys
mmul_O1,1000,2.32,2.29,0.00
mmul_O1,1000,2.09,2.07,0.01
mmul_O1,1000,2.08,2.06,0.00
mmul_O1,1000,2.13,2.11,0.00
mmul_O1,1000,2.11,2.09,0.00
mmul_O1,1000,2.20,2.18,0.00
mmul_O1,1000,2.09,2.08,0.00
mmul_O1,1000,2.08,2.07,0.00
mmul_O1,1000,2.11,2.09,0.00
mmul_O1,1000,2.09,2.07,0.00
mmul_O1,1000,2.15,2.13,0.00
mmul_O1,1000,2.10,2.09,0.00
mmul_O1,1000,2.11,2.09,0.00
mmul_O1,1000,2.22,2.20,0.00
mmul_O1,1000,2.23,2.22,0.00
mmul_O1,1000,2.08,2.07,0.00
mmul_O1,1000,2.12,2.10,0.00
mmul_O1,1000,2.08,2.07,0.00
mmul_O1,1000,2.25,2.23,0.00
mmul_O1,1000,2.08,2.07,0.00
mmul_O1,1000,2.13,2.11,0.00
mmul_O1,1000,2.22,2.21,0.00
mmul_O1,1000,2.09,2.07,0.00
mmul_O1,1000,2.08,2.06,0.00
mmul_O1,1000,2.10,2.08,0.00
