name,config_M,real,user,sys
nbody_O0,400,19.13,19.06,0.00
nbody_O0,400,19.00,18.95,0.00
nbody_O0,400,19.13,19.08,0.00
nbody_O0,400,19.03,18.98,0.00
nbody_O0,400,19.12,19.06,0.00
nbody_O0,400,19.01,18.97,0.00
nbody_O0,400,19.15,19.10,0.00
nbody_O0,400,19.03,18.98,0.00
nbody_O0,400,19.02,18.97,0.00
nbody_O0,400,19.17,19.12,0.00
nbody_O0,400,19.02,18.97,0.00
nbody_O0,400,19.12,19.07,0.00
nbody_O0,400,19.01,18.97,0.00
nbody_O0,400,19.02,18.97,0.00
nbody_O0,400,19.02,18.97,0.00
nbody_O0,400,19.16,19.11,0.00
nbody_O0,400,19.12,19.08,0.00
nbody_O0,400,19.18,19.12,0.00
nbody_O0,400,19.13,19.07,0.00
nbody_O0,400,19.03,18.98,0.00
nbody_O0,400,19.11,19.07,0.00
nbody_O0,400,19.01,18.97,0.00
nbody_O0,400,19.11,19.06,0.00
nbody_O0,400,19.01,18.97,0.00
nbody_O0,400,19.12,19.07,0.00
