name,config_M,real,user,sys
nbody_Ofast,400,7.46,7.43,0.00
nbody_Ofast,400,7.45,7.43,0.00
nbody_Ofast,400,7.43,7.41,0.00
nbody_Ofast,400,7.44,7.42,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.44,7.42,0.00
nbody_Ofast,400,7.45,7.43,0.00
nbody_Ofast,400,7.45,7.43,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.46,7.44,0.00
nbody_Ofast,400,7.42,7.40,0.00
nbody_Ofast,400,7.41,7.40,0.00
nbody_Ofast,400,7.45,7.43,0.00
nbody_Ofast,400,7.44,7.41,0.00
nbody_Ofast,400,7.50,7.48,0.00
nbody_Ofast,400,7.42,7.40,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.44,7.42,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.43,7.42,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.45,7.43,0.00
nbody_Ofast,400,7.41,7.39,0.00
nbody_Ofast,400,7.45,7.43,0.00
