name,config_problem,real,user,sys
qap_Os,problems/chr15c.dat,3.68,3.66,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.66,3.65,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.67,3.66,0.00
qap_Os,problems/chr15c.dat,3.65,3.64,0.00
qap_Os,problems/chr15c.dat,3.67,3.66,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.65,3.64,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.67,3.66,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.65,3.64,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.65,3.64,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.65,3.64,0.00
qap_Os,problems/chr15c.dat,3.65,3.64,0.00
qap_Os,problems/chr15c.dat,3.67,3.66,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.67,3.66,0.00
qap_Os,problems/chr15c.dat,3.64,3.63,0.00
qap_Os,problems/chr15c.dat,3.66,3.65,0.00
qap_Os,problems/chr15c.dat,3.68,3.66,0.00
