config_size,column_name,average,variance
5.61,name,5.64,0.0
5.61,real,0.0,0.0
5.62,name,5.65,0.0
5.62,real,0.0,0.0
5.63,name,5.66,0.0
5.63,real,0.0,0.0
5.64,name,5.67,0.0
5.64,real,0.0,0.0
5.65,name,5.6866666666666665,0.0001333333333333395
5.65,real,0.0,0.0
5.68,name,5.72,0.0
5.68,real,0.0,0.0
5.72,name,5.74,0.0
5.72,real,0.0,0.0
5.73,name,5.756666666666667,3.333333333333191e-05
5.73,real,0.0,0.0
5.74,name,5.77,0.0
5.74,real,0.0,0.0
5.75,name,5.78,0.0
5.75,real,0.0,0.0
5.76,name,5.785,4.999999999999787e-05
5.76,real,0.0,0.0
5.77,name,5.795,4.999999999999787e-05
5.77,real,0.0,0.0
5.78,name,5.81,0.0
5.78,real,0.0,0.0
