config_size,column_name,average,variance
4.63,name,4.656666666666667,3.333333333333191e-05
4.63,real,0.0,0.0
4.64,name,4.66,0.0
4.64,real,0.0,0.0
4.65,name,4.675,3.333333333333191e-05
4.65,real,0.0,0.0
4.66,name,4.68,0.0
4.66,real,0.0,0.0
4.69,name,4.71,0.0
4.69,real,0.0,0.0
4.71,name,4.74,0.0
4.71,real,0.0,0.0
4.72,name,4.74,0.0
4.72,real,0.0,0.0
4.73,name,4.751666666666667,1.6666666666665956e-05
4.73,real,0.0,0.0
4.74,name,4.765,3.333333333333191e-05
4.74,real,0.0,0.0
4.75,name,4.775,5.000000000000675e-05
4.75,real,0.0,0.0
4.79,name,4.87,0.0
4.79,real,0.0,0.0
