config_size,column_name,average,variance
6.07,name,6.1,0.0
6.07,real,0.0,0.0
6.08,name,6.1,0.0
6.08,real,0.0,0.0
6.09,name,6.12,0.0
6.09,real,0.0,0.0
6.10,name,6.13,0.0
6.10,real,0.0,0.0
6.11,name,6.14,0.0
6.11,real,0.0,0.0
6.12,name,6.15,0.0
6.12,real,0.0,0.0
6.21,name,6.24,0.0
6.21,real,0.0,0.0
6.23,name,6.26,0.0
6.23,real,0.0,0.0
6.24,name,6.27,3.333333333333487e-05
6.24,real,0.0,0.0
6.25,name,6.28,0.0
6.25,real,0.0,0.0
6.26,name,6.29,0.0
6.26,real,0.0,0.0
6.27,name,6.3149999999999995,0.00045000000000000747
6.27,real,0.0,0.0
