name,batch_size,config_size,real,user,sys
mmul-tiled-2d,32,2480,38.65,38.49,0.02
mmul-tiled-2d,32,2480,38.80,38.64,0.01
mmul-tiled-2d,32,2480,38.69,38.53,0.03
mmul-tiled-2d,32,2480,38.75,38.60,0.02
mmul-tiled-2d,32,2480,38.68,38.53,0.02
mmul-tiled-2d,32,2480,38.79,38.63,0.02
mmul-tiled-2d,32,2480,38.76,38.61,0.02
mmul-tiled-2d,32,2480,38.84,38.68,0.02
mmul-tiled-2d,32,2480,38.65,38.49,0.02
mmul-tiled-2d,32,2480,38.83,38.67,0.02
mmul-tiled-2d,64,2480,38.61,38.42,0.02
mmul-tiled-2d,64,2480,37.13,36.99,0.02
mmul-tiled-2d,64,2480,38.48,38.33,0.02
mmul-tiled-2d,64,2480,37.13,36.98,0.02
mmul-tiled-2d,64,2480,38.52,38.36,0.02
mmul-tiled-2d,64,2480,38.48,38.33,0.02
mmul-tiled-2d,64,2480,38.61,38.42,0.04
mmul-tiled-2d,64,2480,37.87,37.72,0.02
mmul-tiled-2d,64,2480,37.23,37.09,0.02
mmul-tiled-2d,64,2480,38.50,38.35,0.02
mmul-tiled-3d,32,2480,14.97,14.85,0.06
mmul-tiled-3d,32,2480,15.05,14.93,0.05
mmul-tiled-3d,32,2480,14.93,14.82,0.05
mmul-tiled-3d,32,2480,14.88,14.78,0.04
mmul-tiled-3d,32,2480,14.89,14.79,0.04
mmul-tiled-3d,32,2480,14.93,14.82,0.04
mmul-tiled-3d,32,2480,14.93,14.81,0.05
mmul-tiled-3d,32,2480,14.94,14.83,0.05
mmul-tiled-3d,32,2480,14.90,14.80,0.04
mmul-tiled-3d,32,2480,14.92,14.82,0.04
mmul-tiled-3d,64,2480,15.67,15.54,0.05
mmul-tiled-3d,64,2480,15.73,15.63,0.04
mmul-tiled-3d,64,2480,15.68,15.58,0.04
mmul-tiled-3d,64,2480,15.78,15.67,0.04
mmul-tiled-3d,64,2480,15.66,15.57,0.03
mmul-tiled-3d,64,2480,15.68,15.60,0.03
mmul-tiled-3d,64,2480,15.68,15.59,0.04
mmul-tiled-3d,64,2480,15.68,15.58,0.05
mmul-tiled-3d,64,2480,15.67,15.56,0.04
mmul-tiled-3d,64,2480,15.68,15.58,0.04
mmul-original,0,2480,49.09,48.82,0.02
mmul-original,0,2480,49.23,48.92,0.03
mmul-original,0,2480,49.10,48.84,0.02
mmul-original,0,2480,49.28,48.99,0.03
mmul-original,0,2480,49.01,48.74,0.02
mmul-original,0,2480,47.87,47.58,0.02
mmul-original,0,2480,49.01,48.74,0.02
mmul-original,0,2480,49.25,48.92,0.04
mmul-original,0,2480,49.16,48.88,0.03
mmul-original,0,2480,49.28,48.97,0.02
mmul-tiled-2d,128,2480,37.02,36.88,0.02
mmul-tiled-2d,128,2480,38.62,38.46,0.02
mmul-tiled-2d,128,2480,38.40,38.25,0.02
mmul-tiled-2d,128,2480,37.04,36.89,0.02
mmul-tiled-2d,128,2480,38.39,38.23,0.03
mmul-tiled-2d,128,2480,38.48,38.34,0.02
mmul-tiled-2d,128,2480,38.64,38.47,0.03
mmul-tiled-2d,128,2480,38.67,38.51,0.02
mmul-tiled-2d,128,2480,38.43,38.26,0.03
mmul-tiled-2d,128,2480,37.32,37.15,0.03
mmul-tiled-3d,128,2480,16.23,16.12,0.04
mmul-tiled-3d,128,2480,16.25,16.15,0.03
mmul-tiled-3d,128,2480,16.29,16.19,0.04
mmul-tiled-3d,128,2480,16.30,16.20,0.04
mmul-tiled-3d,128,2480,16.47,16.36,0.04
mmul-tiled-3d,128,2480,16.25,16.15,0.04
mmul-tiled-3d,128,2480,16.16,16.07,0.04
mmul-tiled-3d,128,2480,16.24,16.14,0.05
mmul-tiled-3d,128,2480,16.27,16.17,0.03
mmul-tiled-3d,128,2480,16.18,16.08,0.04


