run_id,rw_mix,element_size,num_elements,list_type,allocation,num_operations,runtime
1,1.0,8,10,array,None,100,2.3
1,1.0,8,10,linked,random,100,2.9
1,1.0,8,10,linked,linear,100,3.1
1,1.0,8,100,array,None,1000,20.2
1,1.0,8,100,linked,random,1000,79.1
1,1.0,8,100,linked,linear,1000,80.9
1,1.0,8,1000,array,None,10000,204.8
1,1.0,8,1000,linked,random,10000,13273.8
1,1.0,8,1000,linked,linear,10000,13831.6
1,1.0,512,10,array,None,100,2.7
1,1.0,512,10,linked,random,100,4.0
1,1.0,512,10,linked,linear,100,4.0
1,1.0,512,100,array,None,1000,28.4
1,1.0,512,100,linked,random,1000,145.2
1,1.0,512,100,linked,linear,1000,150.8
1,1.0,512,1000,array,None,10000,332.0
1,1.0,512,1000,linked,random,10000,37483.6
1,1.0,512,1000,linked,linear,10000,36713.1
1,1.0,8000000,10,array,None,100,73072.4
1,1.0,8000000,10,linked,random,100,65758.5
1,1.0,8000000,10,linked,linear,100,71464.9
1,1.0,8000000,100,array,None,1000,711580.0
1,1.0,8000000,100,linked,random,1000,661844.0
1,1.0,8000000,100,linked,linear,1000,655265.0
1,1.0,8000000,1000,array,None,10000,7190340.0
1,1.0,8000000,1000,linked,random,10000,6757890.0
1,1.0,8000000,1000,linked,linear,10000,6812200.0
