run_id,rw_mix,element_size,num_elements,list_type,allocation,num_operations,runtime
1,1.0,8,10,array,None,100,2.3
1,1.0,8,10,linked,random,100,2.9
1,1.0,8,10,linked,linear,100,3.1
1,1.0,8,100,array,None,1000,20.2
1,1.0,8,100,linked,random,1000,79.1
1,1.0,8,100,linked,linear,1000,80.9
1,1.0,8,1000,array,None,10000,204.8
1,1.0,8,1000,linked,random,10000,13273.8
1,1.0,8,1000,linked,linear,10000,13831.6
1,1.0,512,10,array,None,100,2.7
1,1.0,512,10,linked,random,100,4.0
1,1.0,512,10,linked,linear,100,4.0
1,1.0,512,100,array,None,1000,28.4
1,1.0,512,100,linked,random,1000,145.2
1,1.0,512,100,linked,linear,1000,150.8
1,1.0,512,1000,array,None,10000,332.0
1,1.0,512,1000,linked,random,10000,37483.6
1,1.0,512,1000,linked,linear,10000,36713.1
1,1.0,8000000,10,array,None,100,73072.4
1,1.0,8000000,10,linked,random,100,65758.5
1,1.0,8000000,10,linked,linear,100,71464.9
1,1.0,8000000,100,array,None,1000,711580.0
1,1.0,8000000,100,linked,random,1000,661844.0
1,1.0,8000000,100,linked,linear,1000,655265.0
1,1.0,8000000,1000,array,None,10000,7190340.0
1,1.0,8000000,1000,linked,random,10000,6757890.0
1,1.0,8000000,1000,linked,linear,10000,6812200.0
1,0.9,8,10,array,None,100,2.1
1,0.9,8,10,linked,random,100,2.9
1,0.9,8,10,linked,linear,100,2.9
1,0.9,8,100,array,None,1000,20.2
1,0.9,8,100,linked,random,1000,81.6
1,0.9,8,100,linked,linear,1000,80.0
1,0.9,8,1000,array,None,10000,205.8
1,0.9,8,1000,linked,random,10000,13381.8
1,0.9,8,1000,linked,linear,10000,13857.1
1,0.9,512,10,array,None,100,2.7
1,0.9,512,10,linked,random,100,4.0
1,0.9,512,10,linked,linear,100,3.9
1,0.9,512,100,array,None,1000,28.4
1,0.9,512,100,linked,random,1000,150.4
1,0.9,512,100,linked,linear,1000,153.5
1,0.9,512,1000,array,None,10000,339.6
1,0.9,512,1000,linked,random,10000,37819.9
1,0.9,512,1000,linked,linear,10000,36712.5
1,0.9,8000000,10,array,None,100,69299.1
1,0.9,8000000,10,linked,random,100,69165.6
1,0.9,8000000,10,linked,linear,100,64067.3
1,0.9,8000000,100,array,None,1000,728539.0
1,0.9,8000000,100,linked,random,1000,640954.0
1,0.9,8000000,100,linked,linear,1000,659096.0
1,0.9,8000000,1000,array,None,10000,7128220.0
1,0.9,8000000,1000,linked,random,10000,6755960.0
1,0.9,8000000,1000,linked,linear,10000,6800240.0
1,0.99,8,10,array,None,100,2.1
1,0.99,8,10,linked,random,100,2.9
1,0.99,8,10,linked,linear,100,4.0
1,0.99,8,100,array,None,1000,20.2
1,0.99,8,100,linked,random,1000,81.4
1,0.99,8,100,linked,linear,1000,82.1
1,0.99,8,1000,array,None,10000,205.3
1,0.99,8,1000,linked,random,10000,13361.1
1,0.99,8,1000,linked,linear,10000,13824.0
1,0.99,512,10,array,None,100,2.7
1,0.99,512,10,linked,random,100,3.9
1,0.99,512,10,linked,linear,100,3.9
1,0.99,512,100,array,None,1000,28.5
1,0.99,512,100,linked,random,1000,146.2
1,0.99,512,100,linked,linear,1000,150.6
1,0.99,512,1000,array,None,10000,351.4
1,0.99,512,1000,linked,random,10000,37499.1
1,0.99,512,1000,linked,linear,10000,36789.9
1,0.99,8000000,10,array,None,100,70952.6
1,0.99,8000000,10,linked,random,100,64566.6
1,0.99,8000000,10,linked,linear,100,65997.2
1,0.99,8000000,100,array,None,1000,715447.0
1,0.99,8000000,100,linked,random,1000,655695.0
1,0.99,8000000,100,linked,linear,1000,639519.0
1,0.99,8000000,1000,array,None,10000,7161710.0
1,0.99,8000000,1000,linked,random,10000,6805770.0
1,0.99,8000000,1000,linked,linear,10000,6568050.0
1,0.5,8,10,array,None,100,2.5
1,0.5,8,10,linked,random,100,3.6
1,0.5,8,10,linked,linear,100,3.5
1,0.5,8,100,array,None,1000,38.8
1,0.5,8,100,linked,random,1000,87.1
1,0.5,8,100,linked,linear,1000,87.8
1,0.5,8,1000,array,None,10000,1751.9
1,0.5,8,1000,linked,random,10000,13869.9
1,0.5,8,1000,linked,linear,10000,14029.3
1,0.5,512,10,array,None,100,6.7
1,0.5,512,10,linked,random,100,4.8
1,0.5,512,10,linked,linear,100,4.8
1,0.5,512,100,array,None,1000,451.7
1,0.5,512,100,linked,random,1000,159.3
1,0.5,512,100,linked,linear,1000,153.9
1,0.5,512,1000,array,None,10000,62927.7
1,0.5,512,1000,linked,random,10000,37395.1
1,0.5,512,1000,linked,linear,10000,37885.1
1,0.5,8000000,10,array,None,100,477605.0
1,0.5,8000000,10,linked,random,100,39177.0
1,0.5,8000000,10,linked,linear,100,37870.1
1,0.5,8000000,100,array,None,1000,45609200.0
1,0.5,8000000,100,linked,random,1000,378444.0
1,0.5,8000000,100,linked,linear,1000,374790.0
1,0.5,8000000,1000,array,None,1000,4338575150.0
1,0.5,8000000,100,linked,random,1000,3572877.0
1,0.5,8000000,100,linked,linear,1000,3509244.0
