run_id,rw_mix,element_size,num_elements,list_type,allocation,num_operations,runtime
1,1,8,10,array,None,1000,2.9
1,1,8,10,linked,random,1000,4.4
1,1,8,10,linked,linear,1000,4.4
1,1,8,100,array,None,200,0.6
1,1,8,100,linked,random,200,6.0
1,1,8,100,linked,linear,200,6.0
1,1,8,1000,array,None,10000,29.3
1,1,8,1000,linked,random,10000,8368.6
1,1,8,1000,linked,linear,10000,5536.2
1,1,512,10,array,None,1000,3.3
1,1,512,10,linked,random,1000,5.2
1,1,512,10,linked,linear,1000,5.2
1,1,512,100,array,None,200,0.7
1,1,512,100,linked,random,200,11.2
1,1,512,100,linked,linear,200,11.3
1,1,512,1000,array,None,10000,39.9
1,1,512,1000,linked,random,10000,17778.1
1,1,512,1000,linked,linear,10000,7339.4
1,1,8000000,10,array,None,1000,66787.8
1,1,8000000,10,linked,random,1000,64111.3
1,1,8000000,10,linked,linear,1000,63960.7
1,1,8000000,100,array,None,200,16646.8
1,1,8000000,100,linked,random,200,16790.6
1,1,8000000,100,linked,linear,200,16908.8
1,1,8000000,1000,array,None,10000,658141.0
1,1,8000000,1000,linked,random,10000,768538.0
1,1,8000000,1000,linked,linear,10000,765784.0
1,0.99,8,10,array,None,1000,3.1
1,0.99,8,10,linked,random,1000,3.8
1,0.99,8,10,linked,linear,1000,3.8
1,0.99,8,100,array,None,200,0.5
1,0.99,8,100,linked,random,200,5.2
1,0.99,8,100,linked,linear,200,5.3
1,0.99,8,1000,array,None,10000,25.6
1,0.99,8,1000,linked,random,10000,7162.7
1,0.99,8,1000,linked,linear,10000,4808.0
1,0.99,512,10,array,None,1000,2.9
1,0.99,512,10,linked,random,1000,4.4
1,0.99,512,10,linked,linear,1000,4.7
1,0.99,512,100,array,None,200,1.2
1,0.99,512,100,linked,random,200,9.7
1,0.99,512,100,linked,linear,200,9.8
1,0.99,512,1000,array,None,10000,36.1
1,0.99,512,1000,linked,random,10000,15605.6
1,0.99,512,1000,linked,linear,10000,6303.6
1,0.99,8000000,10,array,None,1000,63372.1
1,0.99,8000000,10,linked,random,1000,64662.9
1,0.99,8000000,10,linked,linear,1000,64423.6
1,0.99,8000000,100,array,None,200,16815.9
1,0.99,8000000,100,linked,random,200,16808.8
1,0.99,8000000,100,linked,linear,200,16918.4
1,0.99,8000000,1000,array,None,10000,664320.0
1,0.99,8000000,1000,linked,random,10000,774054.0
1,0.99,8000000,1000,linked,linear,10000,765763.0
1,0.9,8,10,array,None,1000,2.5
1,0.9,8,10,linked,random,1000,3.8
1,0.9,8,10,linked,linear,1000,3.8
1,0.9,8,100,array,None,200,0.9
1,0.9,8,100,linked,random,200,5.3
1,0.9,8,100,linked,linear,200,5.3
1,0.9,8,1000,array,None,10000,25.8
1,0.9,8,1000,linked,random,10000,7333.0
1,0.9,8,1000,linked,linear,10000,4805.0
1,0.9,512,10,array,None,1000,2.9
1,0.9,512,10,linked,random,1000,5.2
1,0.9,512,10,linked,linear,1000,4.6
1,0.9,512,100,array,None,200,0.6
1,0.9,512,100,linked,random,200,9.8
1,0.9,512,100,linked,linear,200,10.0
1,0.9,512,1000,array,None,10000,35.6
1,0.9,512,1000,linked,random,10000,15788.4
1,0.9,512,1000,linked,linear,10000,6277.6
1,0.9,8000000,10,array,None,1000,62892.9
1,0.9,8000000,10,linked,random,1000,64043.2
1,0.9,8000000,10,linked,linear,1000,63920.7
1,0.9,8000000,100,array,None,200,16673.4
1,0.9,8000000,100,linked,random,200,16748.7
1,0.9,8000000,100,linked,linear,200,16828.6
1,0.9,8000000,1000,array,None,10000,658976.0
1,0.9,8000000,1000,linked,random,10000,768036.0
1,0.9,8000000,1000,linked,linear,10000,764822.0
1,0.5,8,10,array,None,1000,2.6
1,0.5,8,10,linked,random,1000,5.0
1,0.5,8,10,linked,linear,1000,5.0
1,0.5,8,100,array,None,200,1.2
1,0.5,8,100,linked,random,200,6.0
1,0.5,8,100,linked,linear,200,6.0
1,0.5,8,1000,array,None,10000,385.2
1,0.5,8,1000,linked,random,10000,8821.6
1,0.5,8,1000,linked,linear,10000,8353.7
1,0.5,512,10,array,None,1000,10.0
1,0.5,512,10,linked,random,1000,7.1
1,0.5,512,10,linked,linear,1000,7.0
1,0.5,512,100,array,None,200,29.8
1,0.5,512,100,linked,random,200,12.3
1,0.5,512,100,linked,linear,200,11.5
1,0.5,512,1000,array,None,10000,12685.3
1,0.5,512,1000,linked,random,10000,16828.2
1,0.5,512,1000,linked,linear,10000,16475.0
1,0.5,8000000,10,array,None,1000,843285.0
1,0.5,8000000,10,linked,random,1000,226099.0
1,0.5,8000000,10,linked,linear,1000,226550.0
1,0.5,8000000,100,array,None,200,1823330.0
1,0.5,8000000,100,linked,random,200,49504.1
1,0.5,8000000,100,linked,linear,200,48923.8
