rw_mix,num_elements,element_size,list_type,allocation,iteration_type,num_operations
0.99,10,8,array,random,random,47446510
0.99,10,8,array,random,linear,51373671
0.99,10,8,array,linear,random,46537184
0.99,10,8,array,linear,linear,51358810
0.99,1000,8,array,random,random,47041740
0.99,1000,8,array,random,linear,51212620
0.99,1000,8,array,linear,random,48358821
0.99,1000,8,array,linear,linear,51239572
0.99,100000,8,array,random,random,46378099
0.99,100000,8,array,random,linear,50545200
0.99,100000,8,array,linear,random,46735191
0.99,100000,8,array,linear,linear,50947044
0.99,1000000,8,array,random,linear,46753826
0.99,10,512,array,random,random,31510558
0.99,10,512,array,random,linear,33949016
0.99,10,512,array,linear,random,31528234
0.99,10,512,array,linear,linear,33988033
0.99,1000,512,array,random,random,27465031
0.99,1000,512,array,random,linear,29425105
0.99,1000,512,array,linear,random,28198566
0.99,1000,512,array,linear,linear,29732538
0.99,100000,512,array,random,random,15627677
0.99,100000,512,array,random,linear,18072020
0.99,100000,512,array,linear,random,15873302
0.99,100000,512,array,linear,linear,18453858
0.99,10,8000000,array,random,random,1200
0.99,10,8000000,array,random,linear,1241
0.99,10,8000000,array,linear,random,1225
0.99,10,8000000,array,linear,linear,1205
0.99,1000,8000000,array,random,random,1202
0.99,1000,8000000,array,random,linear,1242
0.99,1000,8000000,array,linear,random,1234
0.99,1000,8000000,array,linear,linear,1199
1,10,8,array,random,random,47447191
1,10,8,array,random,linear,51247641
1,10,8,array,linear,random,46621913
1,10,8,array,linear,linear,50229607
1,1000,8,array,random,random,47051659
1,1000,8,array,random,linear,51265568
1,1000,8,array,linear,random,48311001
1,1000,8,array,linear,linear,51268160
1,100000,8,array,random,random,46751434
1,100000,8,array,random,linear,50566584
1,100000,8,array,linear,random,45929286
1,100000,8,array,linear,linear,49773261
1,1000000,8,array,random,random,23870527
1,1000000,8,array,random,linear,45889864
1,1000000,8,array,linear,random,19359082
1,1000000,8,array,linear,linear,46280590
1,10,512,array,random,random,31463348
1,10,512,array,random,linear,32478202
1,10,512,array,linear,random,31935170
1,10,512,array,linear,linear,33634919
1,1000,512,array,random,random,28010512
1,1000,512,array,random,linear,29611779
1,1000,512,array,linear,random,27634110
1,1000,512,array,linear,linear,28463788
1,100000,512,array,random,random,15755847
1,100000,512,array,random,linear,18569846
1,100000,512,array,linear,random,15687346
1,100000,512,array,linear,linear,18208797
1,10,8000000,array,random,random,1230
1,10,8000000,array,random,linear,1223
1,10,8000000,array,linear,random,1192
1,10,8000000,array,linear,linear,1207
1,1000,8000000,array,random,random,1204
1,1000,8000000,array,random,linear,1206
1,1000,8000000,array,linear,random,1236
1,1000,8000000,array,linear,linear,1184
0.9,10,8,array,random,random,47635574
0.9,10,8,array,random,linear,50721785
0.9,10,8,array,linear,random,47668135
0.9,10,8,array,linear,linear,51350342
0.9,1000,8,array,random,random,46244968
0.9,1000,8,array,random,linear,50006987
0.9,1000,8,array,linear,random,48028553
0.9,1000,8,array,linear,linear,49777248
0.9,100000,8,array,random,random,46328839
0.9,100000,8,array,random,linear,49894092
0.9,100000,8,array,linear,random,46269907
0.9,100000,8,array,linear,linear,50582667
0.9,1000000,8,array,random,linear,49215034
0.9,10,512,array,random,random,31177810
0.9,10,512,array,random,linear,34230889
0.9,10,512,array,linear,random,31271664
0.9,10,512,array,linear,linear,33648117
0.9,1000,512,array,random,random,27860443
0.9,1000,512,array,random,linear,28011545
0.9,1000,512,array,linear,random,27802214
0.9,1000,512,array,linear,linear,29603603
0.9,100000,512,array,random,random,10367435
0.9,100000,512,array,random,linear,18384834
0.9,100000,512,array,linear,random,15768034
0.9,100000,512,array,linear,linear,18796060
0.9,10,8000000,array,random,random,1200
0.9,10,8000000,array,random,linear,1209
0.9,10,8000000,array,linear,random,1202
0.9,10,8000000,array,linear,linear,1198
0.9,1000,8000000,array,random,random,1209
0.9,1000,8000000,array,random,linear,1204
0.9,1000,8000000,array,linear,random,1202
0.9,1000,8000000,array,linear,linear,1193
0.5,10,8,array,random,random,39719523
0.5,10,8,array,random,linear,42158877
0.5,10,8,array,linear,random,39764010
0.5,10,8,array,linear,linear,42022532
0.5,1000,8,array,random,random,19380354
0.5,1000,8,array,random,linear,19888953
0.5,1000,8,array,linear,random,19572837
0.5,1000,8,array,linear,linear,19843904
0.5,100000,8,array,random,random,154917
0.5,100000,8,array,random,linear,140659
0.5,100000,8,array,linear,random,154403
0.5,100000,8,array,linear,linear,140660
0.5,1000000,8,array,random,linear,7028
0.5,10,512,array,random,random,17406405
0.5,10,512,array,random,linear,18597901
0.5,10,512,array,linear,random,17258493
0.5,10,512,array,linear,linear,18108503
0.5,1000,512,array,random,random,296994
0.5,1000,512,array,random,linear,324179
0.5,1000,512,array,linear,random,293383
0.5,1000,512,array,linear,linear,322071
0.5,100000,512,array,random,random,1413
0.5,100000,512,array,random,linear,710
0.5,100000,512,array,linear,random,1444
0.5,100000,512,array,linear,linear,717
0.5,10,8000000,array,random,random,263
0.5,10,8000000,array,random,linear,297
0.5,10,8000000,array,linear,random,271
0.5,10,8000000,array,linear,linear,283
0.5,1000,8000000,array,random,random,3
0.5,1000,8000000,array,random,linear,3
0.5,1000,8000000,array,linear,random,3
0.5,1000,8000000,array,linear,linear,3
