rw_mix,num_elements,element_size,list_type,allocation,iteration_type,num_operations
0.99,10,8,linked,random,random,37967294
0.99,10,8,linked,random,linear,39417854
0.99,10,8,linked,linear,random,37939464
0.99,10,8,linked,linear,linear,39362539
0.99,1000,8,linked,random,random,2837358
0.99,1000,8,linked,random,linear,2849313
0.99,1000,8,linked,linear,random,2859693
0.99,1000,8,linked,linear,linear,2872428
0.99,100000,8,linked,random,random,4257
0.99,100000,8,linked,random,linear,21631
0.99,100000,8,linked,linear,random,16294
0.99,100000,8,linked,linear,linear,40464
0.99,10,512,linked,random,random,27583486
0.99,10,512,linked,random,linear,28531332
0.99,10,512,linked,linear,random,27927851
0.99,10,512,linked,linear,linear,28648798
0.99,1000,512,linked,random,random,1180433
0.99,1000,512,linked,random,linear,1201179
0.99,1000,512,linked,linear,random,1248700
0.99,1000,512,linked,linear,linear,1257179
0.99,100000,512,linked,random,random,2370
0.99,100000,512,linked,random,linear,16132
0.99,100000,512,linked,linear,random,3448
0.99,100000,512,linked,linear,linear,18981
0.99,10,8000000,linked,random,random,1196
0.99,10,8000000,linked,random,linear,1202
0.99,10,8000000,linked,linear,random,1199
0.99,10,8000000,linked,linear,linear,1204
0.99,1000,8000000,linked,random,random,1171
0.99,1000,8000000,linked,random,linear,1215
0.99,1000,8000000,linked,linear,random,1209
0.99,1000,8000000,linked,linear,linear,1192
0.9,10,8,linked,random,random,38046014
0.9,10,8,linked,random,linear,39255431
0.9,10,8,linked,linear,random,38065829
0.9,10,8,linked,linear,linear,39315001
0.9,1000,8,linked,random,random,2858101
0.9,1000,8,linked,random,linear,2859414
0.9,1000,8,linked,linear,random,2866136
0.9,1000,8,linked,linear,linear,2874179
0.9,100000,8,linked,random,random,4457
0.9,100000,8,linked,random,linear,21608
0.9,100000,8,linked,linear,random,16149
0.9,100000,8,linked,linear,linear,40571
0.9,10,512,linked,random,random,27957970
0.9,10,512,linked,random,linear,28472974
0.9,10,512,linked,linear,random,28019487
0.9,10,512,linked,linear,linear,28452534
0.9,1000,512,linked,random,random,1211473
0.9,1000,512,linked,random,linear,1199655
0.9,1000,512,linked,linear,random,1252434
0.9,1000,512,linked,linear,linear,1226971
0.9,100000,512,linked,random,random,2511
0.9,100000,512,linked,random,linear,16086
0.9,100000,512,linked,linear,random,3469
0.9,100000,512,linked,linear,linear,19393
0.9,10,8000000,linked,random,random,1232
0.9,10,8000000,linked,random,linear,1209
0.9,10,8000000,linked,linear,random,1222
0.9,10,8000000,linked,linear,linear,1201
0.9,1000,8000000,linked,random,random,1176
0.9,1000,8000000,linked,random,linear,1222
0.9,1000,8000000,linked,linear,random,1210
0.9,1000,8000000,linked,linear,linear,1222
1,10,8,linked,random,random,38065538
1,10,8,linked,random,linear,39262210
1,10,8,linked,linear,random,38045918
1,10,8,linked,linear,linear,39207778
1,1000,8,linked,random,random,2840046
1,1000,8,linked,random,linear,2859361
1,1000,8,linked,linear,random,2876033
1,1000,8,linked,linear,linear,2868912
1,100000,8,linked,random,random,4472
1,100000,8,linked,random,linear,21559
1,100000,8,linked,linear,random,16335
1,100000,8,linked,linear,linear,40697
1,10,512,linked,random,random,27957626
1,10,512,linked,random,linear,28569672
1,10,512,linked,linear,random,27924216
1,10,512,linked,linear,linear,28598178
1,1000,512,linked,random,random,1179602
1,1000,512,linked,random,linear,1221465
1,1000,512,linked,linear,random,1248351
1,1000,512,linked,linear,linear,1251109
1,100000,512,linked,random,random,2406
1,100000,512,linked,random,linear,15587
1,100000,512,linked,linear,random,3487
1,100000,512,linked,linear,linear,20340
1,10,8000000,linked,random,random,1230
1,10,8000000,linked,random,linear,1202
1,10,8000000,linked,linear,random,1195
1,10,8000000,linked,linear,linear,1203
1,1000,8000000,linked,random,random,1179
1,1000,8000000,linked,random,linear,1191
1,1000,8000000,linked,linear,random,1183
1,1000,8000000,linked,linear,linear,1191
0.5,10,8,linked,random,random,31737867
0.5,10,8,linked,random,linear,31719284
0.5,10,8,linked,linear,random,31814189
0.5,10,8,linked,linear,linear,33871703
0.5,1000,8,linked,random,random,2714961
0.5,1000,8,linked,random,linear,2745021
0.5,1000,8,linked,linear,random,2705976
0.5,1000,8,linked,linear,linear,2757068
0.5,100000,8,linked,random,random,4044
0.5,100000,8,linked,random,linear,20561
0.5,100000,8,linked,linear,random,8990
0.5,100000,8,linked,linear,linear,39821
0.5,10,512,linked,random,random,22147557
0.5,10,512,linked,random,linear,24036692
0.5,10,512,linked,linear,random,22805160
0.5,10,512,linked,linear,linear,23767259
0.5,1000,512,linked,random,random,936722
0.5,1000,512,linked,random,linear,1036998
0.5,1000,512,linked,linear,random,935727
0.5,1000,512,linked,linear,linear,1095151
0.5,100000,512,linked,random,random,2421
0.5,100000,512,linked,random,linear,14859
0.5,100000,512,linked,linear,random,3370
0.5,100000,512,linked,linear,linear,16202
0.5,10,8000000,linked,random,random,1336
0.5,10,8000000,linked,random,linear,1344
0.5,10,8000000,linked,linear,random,1322
0.5,10,8000000,linked,linear,linear,1297
0.5,1000,8000000,linked,random,random,1281
0.5,1000,8000000,linked,random,linear,1302
0.5,1000,8000000,linked,linear,random,1278
0.5,1000,8000000,linked,linear,linear,1304
