rw_mix,num_elements,element_size,list_type,allocation,iteration_type,num_operations
0.9,10,8,unrolled,random,random,35900607
0.9,10,8,unrolled,random,linear,40509911
0.9,10,8,unrolled,linear,random,37277688
0.9,10,8,unrolled,linear,linear,39528372
0.9,1000,8,unrolled,random,random,6941483
0.9,1000,8,unrolled,random,linear,6963211
0.9,1000,8,unrolled,linear,random,5905584
0.9,1000,8,unrolled,linear,linear,5960809
0.9,100000,8,unrolled,random,random,14289
0.9,100000,8,unrolled,random,linear,38136
0.9,100000,8,unrolled,linear,random,26366
0.9,100000,8,unrolled,linear,linear,51676
0.9,10,512,unrolled,random,random,26851053
0.9,10,512,unrolled,random,linear,26900625
0.9,10,512,unrolled,linear,random,26464584
0.9,10,512,unrolled,linear,linear,26946449
0.9,1000,512,unrolled,random,random,3605010
0.9,1000,512,unrolled,random,linear,3829775
0.9,1000,512,unrolled,linear,random,2706511
0.9,1000,512,unrolled,linear,linear,2744633
0.9,100000,512,unrolled,random,random,5010
0.9,100000,512,unrolled,random,linear,23945
0.9,100000,512,unrolled,linear,random,3238
0.9,100000,512,unrolled,linear,linear,24636
0.9,10,8000000,unrolled,random,random,874
0.9,10,8000000,unrolled,random,linear,899
0.9,10,8000000,unrolled,linear,random,975
0.9,10,8000000,unrolled,linear,linear,954
