rw_mix,num_elements,element_size,list_type,allocation,iteration_type,num_operations
0.5,10,8,tiered,random,random,28569316
0.5,10,8,tiered,random,linear,31445700
0.5,10,8,tiered,linear,random,28315769
0.5,10,8,tiered,linear,linear,32154220
0.5,1000,8,tiered,random,random,8142444
0.5,1000,8,tiered,random,linear,8815429
0.5,1000,8,tiered,linear,random,8052859
0.5,1000,8,tiered,linear,linear,10930127
0.5,100000,8,tiered,random,random,72385
0.5,100000,8,tiered,random,linear,90357
0.5,100000,8,tiered,linear,random,34043
0.5,100000,8,tiered,linear,linear,85895
0.5,10,512,tiered,random,random,19070398
0.5,10,512,tiered,random,linear,21672019
0.5,10,512,tiered,linear,random,19177262
0.5,10,512,tiered,linear,linear,20962514
0.5,1000,512,tiered,random,random,6454790
0.5,1000,512,tiered,random,linear,7594075
0.5,1000,512,tiered,linear,random,6365241
0.5,1000,512,tiered,linear,linear,8245323
0.5,100000,512,tiered,random,random,71352
0.5,100000,512,tiered,random,linear,89530
0.5,100000,512,tiered,linear,random,33492
0.5,100000,512,tiered,linear,linear,83666
0.5,10,8000000,tiered,random,random,652
0.5,10,8000000,tiered,random,linear,683
0.5,10,8000000,tiered,linear,random,629
0.5,10,8000000,tiered,linear,linear,712
0.5,1000,8000000,tiered,random,random,638
0.5,1000,8000000,tiered,random,linear,782
0.5,1000,8000000,tiered,linear,random,655
0.5,1000,8000000,tiered,linear,linear,634
0.9,10,8,tiered,random,random,33158481
0.9,10,8,tiered,random,linear,35677348
0.9,10,8,tiered,linear,random,30611060
0.9,10,8,tiered,linear,linear,31454174
0.9,1000,8,tiered,random,random,6529976
0.9,1000,8,tiered,random,linear,6552058
0.9,1000,8,tiered,linear,random,3621188
0.9,1000,8,tiered,linear,linear,3652869
0.9,100000,8,tiered,random,random,56605
0.9,100000,8,tiered,random,linear,75007
0.9,100000,8,tiered,linear,random,28991
0.9,100000,8,tiered,linear,linear,53908
0.9,10,512,tiered,random,random,25575486
0.9,10,512,tiered,random,linear,25897363
0.9,10,512,tiered,linear,random,23923125
0.9,10,512,tiered,linear,linear,22336688
0.9,1000,512,tiered,random,random,5754388
0.9,1000,512,tiered,random,linear,5970275
0.9,1000,512,tiered,linear,random,3414467
0.9,1000,512,tiered,linear,linear,3464334
0.9,100000,512,tiered,random,random,55851
0.9,100000,512,tiered,random,linear,74812
0.9,100000,512,tiered,linear,random,28819
0.9,100000,512,tiered,linear,linear,53869
0.9,10,8000000,tiered,random,random,1245
0.9,10,8000000,tiered,random,linear,1223
0.9,10,8000000,tiered,linear,random,1206
0.9,10,8000000,tiered,linear,linear,1249
0.9,1000,8000000,tiered,random,random,1204
0.9,1000,8000000,tiered,random,linear,1224
0.9,1000,8000000,tiered,linear,random,1223
0.9,1000,8000000,tiered,linear,linear,1209
0.99,10,8,tiered,random,random,34459201
0.99,10,8,tiered,random,linear,34916778
0.99,10,8,tiered,linear,random,31474181
0.99,10,8,tiered,linear,linear,31528274
0.99,1000,8,tiered,random,random,6484840
0.99,1000,8,tiered,random,linear,6536054
0.99,1000,8,tiered,linear,random,3648647
0.99,1000,8,tiered,linear,linear,3645122
0.99,100000,8,tiered,random,random,56140
0.99,100000,8,tiered,random,linear,75043
0.99,100000,8,tiered,linear,random,28928
0.99,100000,8,tiered,linear,linear,53720
0.99,10,512,tiered,random,random,25958917
0.99,10,512,tiered,random,linear,26270504
0.99,10,512,tiered,linear,random,23880578
0.99,10,512,tiered,linear,linear,23017131
0.99,1000,512,tiered,random,random,5841189
0.99,1000,512,tiered,random,linear,5797522
0.99,1000,512,tiered,linear,random,3431296
0.99,1000,512,tiered,linear,linear,3444108
0.99,100000,512,tiered,random,random,56064
0.99,100000,512,tiered,random,linear,74973
0.99,100000,512,tiered,linear,random,28745
0.99,100000,512,tiered,linear,linear,53894
0.99,10,8000000,tiered,random,random,1211
0.99,10,8000000,tiered,random,linear,1209
0.99,10,8000000,tiered,linear,random,1211
0.99,10,8000000,tiered,linear,linear,1214
0.99,1000,8000000,tiered,random,random,1203
0.99,1000,8000000,tiered,random,linear,1187
0.99,1000,8000000,tiered,linear,random,1218
0.99,1000,8000000,tiered,linear,linear,1221
1.0,10,8,tiered,random,random,33262882
1.0,10,8,tiered,random,linear,35680316
1.0,10,8,tiered,linear,random,31323168
