rw_mix,num_elements,element_size,list_type,allocation,iteration_type,num_operations
0.5,10,8,unrolled,random,random,29393484
0.5,10,8,unrolled,random,linear,37017042
0.5,10,8,unrolled,linear,random,29218331
0.5,10,8,unrolled,linear,linear,37271661
0.5,1000,8,unrolled,random,random,6154014
0.5,1000,8,unrolled,random,linear,7030209
0.5,1000,8,unrolled,linear,random,6144552
0.5,1000,8,unrolled,linear,linear,6817980
0.5,100000,8,unrolled,random,random,12732
0.5,100000,8,unrolled,random,linear,39924
0.5,100000,8,unrolled,linear,random,18822
0.5,100000,8,unrolled,linear,linear,59376
0.5,10,512,unrolled,random,random,17692914
0.5,10,512,unrolled,random,linear,21106132
0.5,10,512,unrolled,linear,random,17696553
0.5,10,512,unrolled,linear,linear,20047127
0.5,1000,512,unrolled,random,random,2950485
0.5,1000,512,unrolled,random,linear,3886684
0.5,1000,512,unrolled,linear,random,2952984
0.5,1000,512,unrolled,linear,linear,3927574
0.5,100000,512,unrolled,random,random,4852
0.5,100000,512,unrolled,random,linear,25039
0.5,100000,512,unrolled,linear,random,4660
0.5,100000,512,unrolled,linear,linear,29377
0.5,10,8000000,unrolled,random,random,428
0.5,10,8000000,unrolled,random,linear,531
0.5,10,8000000,unrolled,linear,random,491
0.5,10,8000000,unrolled,linear,linear,639
0.9,10,8,unrolled,random,random,35900607
0.9,10,8,unrolled,random,linear,40509911
0.9,10,8,unrolled,linear,random,37277688
0.9,10,8,unrolled,linear,linear,39528372
0.9,1000,8,unrolled,random,random,6941483
0.9,1000,8,unrolled,random,linear,6963211
0.9,1000,8,unrolled,linear,random,5905584
0.9,1000,8,unrolled,linear,linear,5960809
0.9,100000,8,unrolled,random,random,14289
0.9,100000,8,unrolled,random,linear,38136
0.9,100000,8,unrolled,linear,random,26366
0.9,100000,8,unrolled,linear,linear,51676
0.9,10,512,unrolled,random,random,26851053
0.9,10,512,unrolled,random,linear,26900625
0.9,10,512,unrolled,linear,random,26464584
0.9,10,512,unrolled,linear,linear,26946449
0.9,1000,512,unrolled,random,random,3605010
0.9,1000,512,unrolled,random,linear,3829775
0.9,1000,512,unrolled,linear,random,2706511
0.9,1000,512,unrolled,linear,linear,2744633
0.9,100000,512,unrolled,random,random,5010
0.9,100000,512,unrolled,random,linear,23945
0.9,100000,512,unrolled,linear,random,3238
0.9,100000,512,unrolled,linear,linear,24636
0.9,10,8000000,unrolled,random,random,874
0.9,10,8000000,unrolled,random,linear,899
0.9,10,8000000,unrolled,linear,random,975
0.9,10,8000000,unrolled,linear,linear,954
0.99,10,8,unrolled,random,random,37839823
0.99,10,8,unrolled,random,linear,41740670
0.99,10,8,unrolled,linear,random,37423617
0.99,10,8,unrolled,linear,linear,39587806
0.99,1000,8,unrolled,random,random,7027764
0.99,1000,8,unrolled,random,linear,6780176
0.99,1000,8,unrolled,linear,random,5890929
0.99,1000,8,unrolled,linear,linear,5951223
0.99,100000,8,unrolled,random,random,14490
0.99,100000,8,unrolled,random,linear,38419
0.99,100000,8,unrolled,linear,random,26373
0.99,100000,8,unrolled,linear,linear,51627
0.99,10,512,unrolled,random,random,26537955
0.99,10,512,unrolled,random,linear,27786301
0.99,10,512,unrolled,linear,random,26562931
0.99,10,512,unrolled,linear,linear,26875513
0.99,1000,512,unrolled,random,random,3678788
0.99,1000,512,unrolled,random,linear,3695424
0.99,1000,512,unrolled,linear,random,2707660
0.99,1000,512,unrolled,linear,linear,2727641
0.99,100000,512,unrolled,random,random,4847
0.99,100000,512,unrolled,random,linear,23938
0.99,100000,512,unrolled,linear,random,2967
0.99,100000,512,unrolled,linear,linear,24762
0.99,10,8000000,unrolled,random,random,855
0.99,10,8000000,unrolled,random,linear,865
0.99,10,8000000,unrolled,linear,random,898
0.99,10,8000000,unrolled,linear,linear,828
1.0,10,8,unrolled,random,random,38899828
1.0,10,8,unrolled,random,linear,40358872
1.0,10,8,unrolled,linear,random,36467044
1.0,10,8,unrolled,linear,linear,39510216
1.0,1000,8,unrolled,random,random,6680797
1.0,1000,8,unrolled,random,linear,7114162
1.0,1000,8,unrolled,linear,random,5895251
1.0,1000,8,unrolled,linear,linear,5956866
1.0,100000,8,unrolled,random,random,14802
1.0,100000,8,unrolled,random,linear,39093
1.0,100000,8,unrolled,linear,random,26389
1.0,100000,8,unrolled,linear,linear,51469
1.0,1000000,8,unrolled,random,random,467
1.0,10,512,unrolled,random,random,26465220
1.0,10,512,unrolled,random,linear,28097891
1.0,10,512,unrolled,linear,random,26338725
1.0,10,512,unrolled,linear,linear,26898695
1.0,1000,512,unrolled,random,random,3946292
1.0,1000,512,unrolled,random,linear,3832902
1.0,1000,512,unrolled,linear,random,2697717
1.0,1000,512,unrolled,linear,linear,2731792
1.0,100000,512,unrolled,random,random,5435
1.0,100000,512,unrolled,random,linear,24019
1.0,100000,512,unrolled,linear,random,4401
1.0,100000,512,unrolled,linear,linear,24857
1.0,10,8000000,unrolled,random,random,1169
1.0,10,8000000,unrolled,random,linear,961
1.0,10,8000000,unrolled,linear,random,871
1.0,10,8000000,unrolled,linear,linear,862
